,Indicator,Group,Subgroup,Time_Period,Value,Risk,year
3290,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Asian,2020-09-30,24.8,Moderate,2020
3291,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Other/Multiple races,2020-09-30,39.7,Extreme,2020
3357,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,Hispanic/Latino,2020-09-30,43.5,Extreme,2020
3358,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,White,2020-09-30,35.9,Extreme,2020
3359,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,Black,2020-09-30,39.7,Extreme,2020
3360,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,Asian,2020-09-30,29.2,Moderate,2020
3361,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,Other/Multiple races,2020-09-30,45.7,Extreme,2020
3427,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Hispanic/Latino,2020-10-14,31.3,High,2020
3428,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,White,2020-10-14,24.0,Mild,2020
3429,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Black,2020-10-14,28.7,Moderate,2020
3430,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Asian,2020-10-14,23.1,Mild,2020
3431,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Other/Multiple races,2020-10-14,34.4,High,2020
3497,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Hispanic/Latino,2020-10-14,36.0,Extreme,2020
3498,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,White,2020-10-14,31.8,High,2020
3499,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Black,2020-10-14,32.9,High,2020
3500,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Asian,2020-10-14,29.2,Moderate,2020
3501,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Other/Multiple races,2020-10-14,41.7,Extreme,2020
3567,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,Hispanic/Latino,2020-10-14,42.2,Extreme,2020
3568,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,White,2020-10-14,36.1,Extreme,2020
3569,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,Black,2020-10-14,39.8,Extreme,2020
3570,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,Asian,2020-10-14,34.3,High,2020
3571,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,Other/Multiple races,2020-10-14,48.3,Extreme,2020
3637,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Hispanic/Latino,2020-10-28,33.5,High,2020
3638,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,White,2020-10-28,25.4,Moderate,2020
3639,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Black,2020-10-28,34.0,High,2020
3640,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Asian,2020-10-28,21.8,Mild,2020
3641,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Other/Multiple races,2020-10-28,33.4,High,2020
3707,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Hispanic/Latino,2020-10-28,41.8,Extreme,2020
3708,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,White,2020-10-28,35.0,High,2020
3709,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Black,2020-10-28,38.3,Extreme,2020
3710,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Asian,2020-10-28,27.7,Moderate,2020
3711,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Other/Multiple races,2020-10-28,42.5,Extreme,2020
3777,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,Hispanic/Latino,2020-10-28,48.0,Extreme,2020
3778,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,White,2020-10-28,39.4,Extreme,2020
3779,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,Black,2020-10-28,45.0,Extreme,2020
3780,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,Asian,2020-10-28,32.9,High,2020
3781,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,Other/Multiple races,2020-10-28,48.5,Extreme,2020
3847,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Hispanic/Latino,2020-11-11,32.5,High,2020
3848,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,White,2020-11-11,27.0,Moderate,2020
3849,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Black,2020-11-11,31.4,High,2020
3850,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Asian,2020-11-11,23.2,Mild,2020
3851,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Other/Multiple races,2020-11-11,38.5,Extreme,2020
3917,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Hispanic/Latino,2020-11-11,42.2,Extreme,2020
3918,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,White,2020-11-11,36.2,Extreme,2020
3919,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Black,2020-11-11,37.2,Extreme,2020
3920,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Asian,2020-11-11,26.8,Moderate,2020
3921,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Other/Multiple races,2020-11-11,47.1,Extreme,2020
3987,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,Hispanic/Latino,2020-11-11,48.2,Extreme,2020
3988,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,White,2020-11-11,41.2,Extreme,2020
3989,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,Black,2020-11-11,43.6,Extreme,2020
3990,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,Asian,2020-11-11,32.8,High,2020
3991,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,Other/Multiple races,2020-11-11,52.6,Extreme,2020
4057,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Hispanic/Latino,2020-11-25,33.1,High,2020
4058,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,White,2020-11-25,27.2,Moderate,2020
4059,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Black,2020-11-25,32.2,High,2020
4060,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Asian,2020-11-25,25.7,Moderate,2020
4061,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Other/Multiple races,2020-11-25,35.0,High,2020
4127,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Hispanic/Latino,2020-11-25,41.8,Extreme,2020
4128,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,White,2020-11-25,34.6,High,2020
4129,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Black,2020-11-25,36.9,Extreme,2020
4130,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Asian,2020-11-25,29.7,Moderate,2020
4131,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Other/Multiple races,2020-11-25,44.9,Extreme,2020
4197,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,Hispanic/Latino,2020-11-25,48.0,Extreme,2020
4198,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,White,2020-11-25,39.6,Extreme,2020
4199,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,Black,2020-11-25,42.5,Extreme,2020
4200,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,Asian,2020-11-25,35.0,High,2020
4201,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,Other/Multiple races,2020-11-25,49.8,Extreme,2020
4267,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Hispanic/Latino,2020-12-09,33.0,High,2020
4268,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,White,2020-12-09,28.8,Moderate,2020
4269,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Black,2020-12-09,35.2,Extreme,2020
4270,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Asian,2020-12-09,24.0,Mild,2020
4271,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Other/Multiple races,2020-12-09,37.3,Extreme,2020
4337,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Hispanic/Latino,2020-12-09,39.8,Extreme,2020
4338,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,White,2020-12-09,35.8,Extreme,2020
4339,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Black,2020-12-09,41.1,Extreme,2020
4340,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Asian,2020-12-09,26.5,Moderate,2020
4341,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Other/Multiple races,2020-12-09,44.4,Extreme,2020
4407,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,Hispanic/Latino,2020-12-09,46.3,Extreme,2020
4408,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,White,2020-12-09,40.9,Extreme,2020
4409,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,Black,2020-12-09,48.0,Extreme,2020
4410,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,Asian,2020-12-09,33.1,High,2020
4411,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,Other/Multiple races,2020-12-09,48.9,Extreme,2020
4496,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Hispanic/Latino,2021-01-06,29.6,Moderate,2021
4497,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,White,2021-01-06,27.4,Moderate,2021
4498,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Black,2021-01-06,31.2,High,2021
4499,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Asian,2021-01-06,23.6,Mild,2021
4500,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Other/Multiple races,2021-01-06,37.2,Extreme,2021
4585,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Hispanic/Latino,2021-01-06,37.6,Extreme,2021
4586,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,White,2021-01-06,35.8,Extreme,2021
4587,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Black,2021-01-06,34.8,High,2021
4588,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Asian,2021-01-06,28.1,Moderate,2021
4589,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Other/Multiple races,2021-01-06,41.2,Extreme,2021
4674,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,Hispanic/Latino,2021-01-06,42.1,Extreme,2021
4675,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,White,2021-01-06,40.6,Extreme,2021
4676,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,Black,2021-01-06,42.2,Extreme,2021
4677,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,Asian,2021-01-06,34.0,High,2021
4678,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,Other/Multiple races,2021-01-06,50.7,Extreme,2021
4744,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Hispanic/Latino,2021-01-20,32.1,High,2021
4745,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,White,2021-01-20,26.9,Moderate,2021
4746,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Black,2021-01-20,31.0,High,2021
4747,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Asian,2021-01-20,26.2,Moderate,2021
4748,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Other/Multiple races,2021-01-20,34.5,High,2021
4814,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Hispanic/Latino,2021-01-20,41.5,Extreme,2021
4815,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,White,2021-01-20,34.9,High,2021
4816,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Black,2021-01-20,38.0,Extreme,2021
4817,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Asian,2021-01-20,30.1,High,2021
4818,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Other/Multiple races,2021-01-20,36.6,Extreme,2021
4884,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,Hispanic/Latino,2021-01-20,47.1,Extreme,2021
4885,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,White,2021-01-20,39.8,Extreme,2021
4886,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,Black,2021-01-20,44.5,Extreme,2021
4887,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,Asian,2021-01-20,37.4,Extreme,2021
4888,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,Other/Multiple races,2021-01-20,44.8,Extreme,2021
4954,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Hispanic/Latino,2021-02-03,32.7,High,2021
4955,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,White,2021-02-03,26.2,Moderate,2021
4956,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Black,2021-02-03,31.1,High,2021
4957,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Asian,2021-02-03,26.9,Moderate,2021
4958,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Other/Multiple races,2021-02-03,33.2,High,2021
5024,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Hispanic/Latino,2021-02-03,37.0,Extreme,2021
5025,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,White,2021-02-03,32.7,High,2021
5026,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Black,2021-02-03,35.2,Extreme,2021
5027,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Asian,2021-02-03,29.7,Moderate,2021
5028,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Other/Multiple races,2021-02-03,39.2,Extreme,2021
5094,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,Hispanic/Latino,2021-02-03,43.8,Extreme,2021
5095,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,White,2021-02-03,37.7,Extreme,2021
5096,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,Black,2021-02-03,41.9,Extreme,2021
5097,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,Asian,2021-02-03,36.2,Extreme,2021
5098,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,Other/Multiple races,2021-02-03,44.1,Extreme,2021
5164,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Hispanic/Latino,2021-02-17,29.5,Moderate,2021
5165,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,White,2021-02-17,26.6,Moderate,2021
5166,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Black,2021-02-17,31.3,High,2021
5167,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Asian,2021-02-17,25.2,Moderate,2021
5168,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Other/Multiple races,2021-02-17,35.0,High,2021
5234,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Hispanic/Latino,2021-02-17,36.9,Extreme,2021
5235,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,White,2021-02-17,32.1,High,2021
5236,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Black,2021-02-17,35.5,Extreme,2021
5237,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Asian,2021-02-17,27.6,Moderate,2021
5238,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Other/Multiple races,2021-02-17,42.8,Extreme,2021
5304,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,Hispanic/Latino,2021-02-17,42.9,Extreme,2021
5305,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,White,2021-02-17,37.4,Extreme,2021
5306,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,Black,2021-02-17,41.5,Extreme,2021
5307,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,Asian,2021-02-17,33.8,High,2021
5308,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,Other/Multiple races,2021-02-17,48.6,Extreme,2021
5374,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Hispanic/Latino,2021-03-03,28.2,Moderate,2021
5375,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,White,2021-03-03,25.3,Moderate,2021
5376,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Black,2021-03-03,28.7,Moderate,2021
5377,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Asian,2021-03-03,21.7,Mild,2021
5378,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Other/Multiple races,2021-03-03,35.8,Extreme,2021
5444,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Hispanic/Latino,2021-03-03,33.9,High,2021
5445,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,White,2021-03-03,30.8,High,2021
5446,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Black,2021-03-03,31.4,High,2021
5447,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Asian,2021-03-03,23.0,Mild,2021
5448,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Other/Multiple races,2021-03-03,42.8,Extreme,2021
5514,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,Hispanic/Latino,2021-03-03,39.6,Extreme,2021
5515,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,White,2021-03-03,35.9,Extreme,2021
5516,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,Black,2021-03-03,38.2,Extreme,2021
5517,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,Asian,2021-03-03,30.0,High,2021
5518,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,Other/Multiple races,2021-03-03,47.5,Extreme,2021
5584,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Hispanic/Latino,2021-03-17,28.3,Moderate,2021
5585,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,White,2021-03-17,22.8,Mild,2021
5586,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Black,2021-03-17,27.0,Moderate,2021
5587,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Asian,2021-03-17,24.7,Mild,2021
5588,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Other/Multiple races,2021-03-17,34.9,High,2021
5654,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Hispanic/Latino,2021-03-17,34.8,High,2021
5655,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,White,2021-03-17,28.6,Moderate,2021
5656,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Black,2021-03-17,32.2,High,2021
5657,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Asian,2021-03-17,27.2,Moderate,2021
5658,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Other/Multiple races,2021-03-17,35.0,High,2021
5724,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,Hispanic/Latino,2021-03-17,40.0,Extreme,2021
5725,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,White,2021-03-17,33.2,High,2021
5726,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,Black,2021-03-17,37.9,Extreme,2021
5727,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,Asian,2021-03-17,33.4,High,2021
5728,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,Other/Multiple races,2021-03-17,43.1,Extreme,2021
5813,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Hispanic/Latino,2021-04-14,29.3,Moderate,2021
5814,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,White,2021-04-14,21.2,Mild,2021
5815,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Black,2021-04-14,24.7,Mild,2021
5816,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Asian,2021-04-14,18.5,Mild,2021
5817,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Other/Multiple races,2021-04-14,28.7,Moderate,2021
5904,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Hispanic/Latino,2021-04-14,32.9,High,2021
5905,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,White,2021-04-14,25.9,Moderate,2021
5906,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Black,2021-04-14,29.5,Moderate,2021
5907,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Asian,2021-04-14,19.0,Mild,2021
5908,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Other/Multiple races,2021-04-14,36.0,Extreme,2021
5995,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,Hispanic/Latino,2021-04-14,38.6,Extreme,2021
5996,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,White,2021-04-14,30.3,High,2021
5997,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,Black,2021-04-14,35.0,High,2021
5998,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,Asian,2021-04-14,25.5,Moderate,2021
5999,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,Other/Multiple races,2021-04-14,41.7,Extreme,2021
6067,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Hispanic/Latino,2021-04-28,26.1,Moderate,2021
6068,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,White,2021-04-28,20.6,Mild,2021
6069,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Black,2021-04-28,23.5,Mild,2021
6070,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Asian,2021-04-28,15.9,Mild,2021
6071,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Other/Multiple races,2021-04-28,31.4,High,2021
6139,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Hispanic/Latino,2021-04-28,29.2,Moderate,2021
6140,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,White,2021-04-28,25.7,Moderate,2021
6141,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Black,2021-04-28,28.7,Moderate,2021
6142,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Asian,2021-04-28,18.2,Mild,2021
6143,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Other/Multiple races,2021-04-28,34.8,High,2021
6211,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,Hispanic/Latino,2021-04-28,34.5,High,2021
6212,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,White,2021-04-28,29.6,Moderate,2021
6213,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,Black,2021-04-28,33.0,High,2021
6214,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,Asian,2021-04-28,22.5,Mild,2021
6215,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,Other/Multiple races,2021-04-28,41.8,Extreme,2021
6283,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Hispanic/Latino,2021-05-12,27.4,Moderate,2021
6284,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,White,2021-05-12,19.5,Mild,2021
6285,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Black,2021-05-12,23.1,Mild,2021
6286,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Asian,2021-05-12,19.6,Mild,2021
6287,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Other/Multiple races,2021-05-12,31.0,High,2021
6355,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Hispanic/Latino,2021-05-12,30.2,High,2021
6356,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,White,2021-05-12,24.2,Mild,2021
6357,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Black,2021-05-12,29.3,Moderate,2021
6358,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Asian,2021-05-12,19.4,Mild,2021
6359,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Other/Multiple races,2021-05-12,33.8,High,2021
6427,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,Hispanic/Latino,2021-05-12,36.1,Extreme,2021
6428,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,White,2021-05-12,28.0,Moderate,2021
6429,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,Black,2021-05-12,33.7,High,2021
6430,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,Asian,2021-05-12,24.8,Moderate,2021
6431,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,Other/Multiple races,2021-05-12,40.2,Extreme,2021
6499,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Hispanic/Latino,2021-05-26,26.3,Moderate,2021
6500,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,White,2021-05-26,19.1,Mild,2021
6501,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Black,2021-05-26,22.2,Mild,2021
6502,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Asian,2021-05-26,15.6,Mild,2021
6503,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Other/Multiple races,2021-05-26,32.3,High,2021
6571,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Hispanic/Latino,2021-05-26,31.0,High,2021
6572,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,White,2021-05-26,23.9,Mild,2021
6573,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Black,2021-05-26,26.9,Moderate,2021
6574,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Asian,2021-05-26,16.2,Mild,2021
6575,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Other/Multiple races,2021-05-26,35.8,Extreme,2021
6643,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,Hispanic/Latino,2021-05-26,35.7,Extreme,2021
6644,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,White,2021-05-26,27.7,Moderate,2021
6645,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,Black,2021-05-26,32.6,High,2021
6646,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,Asian,2021-05-26,20.2,Mild,2021
