,Indicator,Group,Subgroup,Time_Period,Value,Risk
844,Symptoms of Depressive Disorder,By Age,50 - 59 years,2020-05-28,25.1,Mild
845,Symptoms of Depressive Disorder,By Age,60 - 69 years,2020-05-28,18.0,Mild
846,Symptoms of Depressive Disorder,By Age,70 - 79 years,2020-05-28,15.5,Mild
847,Symptoms of Depressive Disorder,By Age,80 years and above,2020-05-28,14.9,Mild
848,Symptoms of Depressive Disorder,By Sex,Male,2020-05-28,23.0,Mild
849,Symptoms of Depressive Disorder,By Sex,Female,2020-05-28,27.4,Mild
850,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Hispanic or Latino,2020-05-28,26.3,Mild
851,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,"Non-Hispanic White, single race",2020-05-28,23.7,Mild
852,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,"Non-Hispanic Black, single race",2020-05-28,29.9,Mild
853,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,"Non-Hispanic Asian, single race",2020-05-28,22.0,Mild
854,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,"Non-Hispanic, other races and multiple races",2020-05-28,37.6,High
855,Symptoms of Depressive Disorder,By Education,Less than a high school diploma,2020-05-28,31.9,Moderate
856,Symptoms of Depressive Disorder,By Education,High school diploma or GED,2020-05-28,27.8,Mild
857,Symptoms of Depressive Disorder,By Education,Some college/Associate's degree,2020-05-28,27.8,Mild
858,Symptoms of Depressive Disorder,By Education,Bachelor's degree or higher,2020-05-28,18.6,Mild
859,Symptoms of Depressive Disorder,By State,Alabama,2020-05-28,28.4,Mild
860,Symptoms of Depressive Disorder,By State,Alaska,2020-05-28,24.4,Mild
861,Symptoms of Depressive Disorder,By State,Arizona,2020-05-28,23.9,Mild
862,Symptoms of Depressive Disorder,By State,Arkansas,2020-05-28,28.9,Mild
863,Symptoms of Depressive Disorder,By State,California,2020-05-28,26.9,Mild
864,Symptoms of Depressive Disorder,By State,Colorado,2020-05-28,23.9,Mild
865,Symptoms of Depressive Disorder,By State,Connecticut,2020-05-28,25.4,Mild
866,Symptoms of Depressive Disorder,By State,Delaware,2020-05-28,20.7,Mild
867,Symptoms of Depressive Disorder,By State,District of Columbia,2020-05-28,21.3,Mild
868,Symptoms of Depressive Disorder,By State,Florida,2020-05-28,29.6,Mild
869,Symptoms of Depressive Disorder,By State,Georgia,2020-05-28,24.5,Mild
870,Symptoms of Depressive Disorder,By State,Hawaii,2020-05-28,17.0,Mild
871,Symptoms of Depressive Disorder,By State,Idaho,2020-05-28,23.8,Mild
872,Symptoms of Depressive Disorder,By State,Illinois,2020-05-28,26.9,Mild
873,Symptoms of Depressive Disorder,By State,Indiana,2020-05-28,25.6,Mild
874,Symptoms of Depressive Disorder,By State,Iowa,2020-05-28,22.6,Mild
875,Symptoms of Depressive Disorder,By State,Kansas,2020-05-28,23.1,Mild
876,Symptoms of Depressive Disorder,By State,Kentucky,2020-05-28,28.5,Mild
877,Symptoms of Depressive Disorder,By State,Louisiana,2020-05-28,26.8,Mild
878,Symptoms of Depressive Disorder,By State,Maine,2020-05-28,18.5,Mild
879,Symptoms of Depressive Disorder,By State,Maryland,2020-05-28,21.9,Mild
880,Symptoms of Depressive Disorder,By State,Massachusetts,2020-05-28,20.3,Mild
881,Symptoms of Depressive Disorder,By State,Michigan,2020-05-28,25.9,Mild
882,Symptoms of Depressive Disorder,By State,Minnesota,2020-05-28,19.1,Mild
883,Symptoms of Depressive Disorder,By State,Mississippi,2020-05-28,28.6,Mild
884,Symptoms of Depressive Disorder,By State,Missouri,2020-05-28,24.5,Mild
885,Symptoms of Depressive Disorder,By State,Montana,2020-05-28,20.5,Mild
886,Symptoms of Depressive Disorder,By State,Nebraska,2020-05-28,18.2,Mild
887,Symptoms of Depressive Disorder,By State,Nevada,2020-05-28,20.2,Mild
888,Symptoms of Depressive Disorder,By State,New Hampshire,2020-05-28,22.6,Mild
889,Symptoms of Depressive Disorder,By State,New Jersey,2020-05-28,25.8,Mild
890,Symptoms of Depressive Disorder,By State,New Mexico,2020-05-28,24.3,Mild
891,Symptoms of Depressive Disorder,By State,New York,2020-05-28,24.5,Mild
892,Symptoms of Depressive Disorder,By State,North Carolina,2020-05-28,22.3,Mild
893,Symptoms of Depressive Disorder,By State,North Dakota,2020-05-28,19.3,Mild
894,Symptoms of Depressive Disorder,By State,Ohio,2020-05-28,28.1,Mild
895,Symptoms of Depressive Disorder,By State,Oklahoma,2020-05-28,31.8,Moderate
896,Symptoms of Depressive Disorder,By State,Oregon,2020-05-28,27.6,Mild
897,Symptoms of Depressive Disorder,By State,Pennsylvania,2020-05-28,24.6,Mild
898,Symptoms of Depressive Disorder,By State,Rhode Island,2020-05-28,22.3,Mild
899,Symptoms of Depressive Disorder,By State,South Carolina,2020-05-28,28.8,Mild
900,Symptoms of Depressive Disorder,By State,South Dakota,2020-05-28,20.0,Mild
901,Symptoms of Depressive Disorder,By State,Tennessee,2020-05-28,22.9,Mild
902,Symptoms of Depressive Disorder,By State,Texas,2020-05-28,26.2,Mild
903,Symptoms of Depressive Disorder,By State,Utah,2020-05-28,22.3,Mild
904,Symptoms of Depressive Disorder,By State,Vermont,2020-05-28,23.5,Mild
905,Symptoms of Depressive Disorder,By State,Virginia,2020-05-28,21.4,Mild
906,Symptoms of Depressive Disorder,By State,Washington,2020-05-28,27.1,Mild
907,Symptoms of Depressive Disorder,By State,West Virginia,2020-05-28,26.2,Mild
908,Symptoms of Depressive Disorder,By State,Wisconsin,2020-05-28,17.7,Mild
909,Symptoms of Depressive Disorder,By State,Wyoming,2020-05-28,25.2,Mild
911,Symptoms of Anxiety Disorder,By Age,18 - 29 years,2020-05-28,42.2,Extreme
912,Symptoms of Anxiety Disorder,By Age,30 - 39 years,2020-05-28,35.8,High
913,Symptoms of Anxiety Disorder,By Age,40 - 49 years,2020-05-28,32.1,Moderate
914,Symptoms of Anxiety Disorder,By Age,50 - 59 years,2020-05-28,29.3,Mild
915,Symptoms of Anxiety Disorder,By Age,60 - 69 years,2020-05-28,23.0,Mild
916,Symptoms of Anxiety Disorder,By Age,70 - 79 years,2020-05-28,18.2,Mild
917,Symptoms of Anxiety Disorder,By Age,80 years and above,2020-05-28,13.3,Mild
918,Symptoms of Anxiety Disorder,By Sex,Male,2020-05-28,26.0,Mild
919,Symptoms of Anxiety Disorder,By Sex,Female,2020-05-28,35.0,Moderate
920,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Hispanic or Latino,2020-05-28,32.1,Moderate
921,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,"Non-Hispanic White, single race",2020-05-28,29.0,Mild
922,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,"Non-Hispanic Black, single race",2020-05-28,33.8,Moderate
923,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,"Non-Hispanic Asian, single race",2020-05-28,28.4,Mild
924,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,"Non-Hispanic, other races and multiple races",2020-05-28,44.6,Extreme
925,Symptoms of Anxiety Disorder,By Education,Less than a high school diploma,2020-05-28,37.8,High
926,Symptoms of Anxiety Disorder,By Education,High school diploma or GED,2020-05-28,31.4,Moderate
927,Symptoms of Anxiety Disorder,By Education,Some college/Associate's degree,2020-05-28,32.8,Moderate
928,Symptoms of Anxiety Disorder,By Education,Bachelor's degree or higher,2020-05-28,25.9,Mild
929,Symptoms of Anxiety Disorder,By State,Alabama,2020-05-28,31.6,Moderate
930,Symptoms of Anxiety Disorder,By State,Alaska,2020-05-28,26.1,Mild
931,Symptoms of Anxiety Disorder,By State,Arizona,2020-05-28,27.9,Mild
932,Symptoms of Anxiety Disorder,By State,Arkansas,2020-05-28,35.3,High
933,Symptoms of Anxiety Disorder,By State,California,2020-05-28,33.8,Moderate
934,Symptoms of Anxiety Disorder,By State,Colorado,2020-05-28,29.4,Mild
935,Symptoms of Anxiety Disorder,By State,Connecticut,2020-05-28,26.7,Mild
936,Symptoms of Anxiety Disorder,By State,Delaware,2020-05-28,26.2,Mild
937,Symptoms of Anxiety Disorder,By State,District of Columbia,2020-05-28,28.2,Mild
938,Symptoms of Anxiety Disorder,By State,Florida,2020-05-28,33.8,Moderate
939,Symptoms of Anxiety Disorder,By State,Georgia,2020-05-28,31.7,Moderate
940,Symptoms of Anxiety Disorder,By State,Hawaii,2020-05-28,20.7,Mild
941,Symptoms of Anxiety Disorder,By State,Idaho,2020-05-28,28.3,Mild
942,Symptoms of Anxiety Disorder,By State,Illinois,2020-05-28,31.3,Moderate
943,Symptoms of Anxiety Disorder,By State,Indiana,2020-05-28,31.5,Moderate
944,Symptoms of Anxiety Disorder,By State,Iowa,2020-05-28,27.8,Mild
945,Symptoms of Anxiety Disorder,By State,Kansas,2020-05-28,28.3,Mild
946,Symptoms of Anxiety Disorder,By State,Kentucky,2020-05-28,33.3,Moderate
947,Symptoms of Anxiety Disorder,By State,Louisiana,2020-05-28,31.0,Moderate
948,Symptoms of Anxiety Disorder,By State,Maine,2020-05-28,25.2,Mild
949,Symptoms of Anxiety Disorder,By State,Maryland,2020-05-28,26.1,Mild
950,Symptoms of Anxiety Disorder,By State,Massachusetts,2020-05-28,26.7,Mild
951,Symptoms of Anxiety Disorder,By State,Michigan,2020-05-28,29.0,Mild
952,Symptoms of Anxiety Disorder,By State,Minnesota,2020-05-28,27.5,Mild
953,Symptoms of Anxiety Disorder,By State,Mississippi,2020-05-28,33.8,Moderate
954,Symptoms of Anxiety Disorder,By State,Missouri,2020-05-28,30.1,Moderate
955,Symptoms of Anxiety Disorder,By State,Montana,2020-05-28,22.6,Mild
956,Symptoms of Anxiety Disorder,By State,Nebraska,2020-05-28,22.2,Mild
957,Symptoms of Anxiety Disorder,By State,Nevada,2020-05-28,30.3,Moderate
958,Symptoms of Anxiety Disorder,By State,New Hampshire,2020-05-28,26.7,Mild
959,Symptoms of Anxiety Disorder,By State,New Jersey,2020-05-28,31.8,Moderate
960,Symptoms of Anxiety Disorder,By State,New Mexico,2020-05-28,37.1,High
961,Symptoms of Anxiety Disorder,By State,New York,2020-05-28,29.8,Mild
962,Symptoms of Anxiety Disorder,By State,North Carolina,2020-05-28,29.6,Mild
963,Symptoms of Anxiety Disorder,By State,North Dakota,2020-05-28,18.4,Mild
964,Symptoms of Anxiety Disorder,By State,Ohio,2020-05-28,29.6,Mild
965,Symptoms of Anxiety Disorder,By State,Oklahoma,2020-05-28,31.7,Moderate
966,Symptoms of Anxiety Disorder,By State,Oregon,2020-05-28,35.3,High
967,Symptoms of Anxiety Disorder,By State,Pennsylvania,2020-05-28,31.4,Moderate
968,Symptoms of Anxiety Disorder,By State,Rhode Island,2020-05-28,30.8,Moderate
969,Symptoms of Anxiety Disorder,By State,South Carolina,2020-05-28,29.2,Mild
970,Symptoms of Anxiety Disorder,By State,South Dakota,2020-05-28,26.3,Mild
971,Symptoms of Anxiety Disorder,By State,Tennessee,2020-05-28,30.4,Moderate
972,Symptoms of Anxiety Disorder,By State,Texas,2020-05-28,31.1,Moderate
973,Symptoms of Anxiety Disorder,By State,Utah,2020-05-28,29.7,Mild
974,Symptoms of Anxiety Disorder,By State,Vermont,2020-05-28,31.8,Moderate
975,Symptoms of Anxiety Disorder,By State,Virginia,2020-05-28,28.3,Mild
976,Symptoms of Anxiety Disorder,By State,Washington,2020-05-28,31.7,Moderate
977,Symptoms of Anxiety Disorder,By State,West Virginia,2020-05-28,33.6,Moderate
978,Symptoms of Anxiety Disorder,By State,Wisconsin,2020-05-28,22.7,Mild
979,Symptoms of Anxiety Disorder,By State,Wyoming,2020-05-28,25.3,Mild
981,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,18 - 29 years,2020-05-28,49.3,Extreme
982,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,30 - 39 years,2020-05-28,40.6,Extreme
983,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,40 - 49 years,2020-05-28,36.9,High
984,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,50 - 59 years,2020-05-28,33.6,Moderate
985,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,60 - 69 years,2020-05-28,27.0,Mild
986,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,70 - 79 years,2020-05-28,21.7,Mild
987,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,80 years and above,2020-05-28,19.2,Mild
988,Symptoms of Anxiety Disorder or Depressive Disorder,By Sex,Male,2020-05-28,31.1,Moderate
989,Symptoms of Anxiety Disorder or Depressive Disorder,By Sex,Female,2020-05-28,39.6,High
990,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,Hispanic or Latino,2020-05-28,38.3,High
991,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,"Non-Hispanic White, single race",2020-05-28,33.1,Moderate
992,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,"Non-Hispanic Black, single race",2020-05-28,40.5,Extreme
993,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,"Non-Hispanic Asian, single race",2020-05-28,34.2,Moderate
994,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,"Non-Hispanic, other races and multiple races",2020-05-28,49.6,Extreme
995,Symptoms of Anxiety Disorder or Depressive Disorder,By Education,Less than a high school diploma,2020-05-28,43.9,Extreme
996,Symptoms of Anxiety Disorder or Depressive Disorder,By Education,High school diploma or GED,2020-05-28,36.7,High
997,Symptoms of Anxiety Disorder or Depressive Disorder,By Education,Some college/Associate's degree,2020-05-28,38.3,High
998,Symptoms of Anxiety Disorder or Depressive Disorder,By Education,Bachelor's degree or higher,2020-05-28,29.4,Mild
999,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Alabama,2020-05-28,37.5,High
1000,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Alaska,2020-05-28,31.6,Moderate
1001,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Arizona,2020-05-28,32.6,Moderate
1002,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Arkansas,2020-05-28,39.0,High
1003,Symptoms of Anxiety Disorder or Depressive Disorder,By State,California,2020-05-28,38.6,High
1004,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Colorado,2020-05-28,33.6,Moderate
1005,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Connecticut,2020-05-28,35.1,High
1006,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Delaware,2020-05-28,30.3,Moderate
1007,Symptoms of Anxiety Disorder or Depressive Disorder,By State,District of Columbia,2020-05-28,33.0,Moderate
1008,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Florida,2020-05-28,40.0,High
1009,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Georgia,2020-05-28,34.9,Moderate
1010,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Hawaii,2020-05-28,26.1,Mild
1011,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Idaho,2020-05-28,31.8,Moderate
1012,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Illinois,2020-05-28,37.0,High
1013,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Indiana,2020-05-28,36.2,High
1014,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Iowa,2020-05-28,32.9,Moderate
1015,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Kansas,2020-05-28,32.0,Moderate
1016,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Kentucky,2020-05-28,39.0,High
1017,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Louisiana,2020-05-28,36.3,High
1018,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Maine,2020-05-28,29.3,Mild
1019,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Maryland,2020-05-28,30.8,Moderate
1020,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Massachusetts,2020-05-28,29.9,Mild
1021,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Michigan,2020-05-28,34.5,Moderate
1022,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Minnesota,2020-05-28,30.0,Mild
1023,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Mississippi,2020-05-28,38.7,High
1024,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Missouri,2020-05-28,33.7,Moderate
1025,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Montana,2020-05-28,28.6,Mild
1026,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Nebraska,2020-05-28,26.6,Mild
1027,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Nevada,2020-05-28,34.2,Moderate
1028,Symptoms of Anxiety Disorder or Depressive Disorder,By State,New Hampshire,2020-05-28,31.8,Moderate
1029,Symptoms of Anxiety Disorder or Depressive Disorder,By State,New Jersey,2020-05-28,36.5,High
1030,Symptoms of Anxiety Disorder or Depressive Disorder,By State,New Mexico,2020-05-28,39.5,High
1031,Symptoms of Anxiety Disorder or Depressive Disorder,By State,New York,2020-05-28,34.8,Moderate
1032,Symptoms of Anxiety Disorder or Depressive Disorder,By State,North Carolina,2020-05-28,33.0,Moderate
1033,Symptoms of Anxiety Disorder or Depressive Disorder,By State,North Dakota,2020-05-28,26.0,Mild
1034,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Ohio,2020-05-28,37.0,High
1035,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Oklahoma,2020-05-28,38.6,High
1036,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Oregon,2020-05-28,39.5,High
1037,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Pennsylvania,2020-05-28,35.1,High
1038,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Rhode Island,2020-05-28,34.0,Moderate
1039,Symptoms of Anxiety Disorder or Depressive Disorder,By State,South Carolina,2020-05-28,35.6,High
1040,Symptoms of Anxiety Disorder or Depressive Disorder,By State,South Dakota,2020-05-28,29.7,Mild
1041,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Tennessee,2020-05-28,33.6,Moderate
1042,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Texas,2020-05-28,36.9,High
1043,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Utah,2020-05-28,34.5,Moderate
1044,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Vermont,2020-05-28,35.3,High
1045,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Virginia,2020-05-28,31.4,Moderate
1046,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Washington,2020-05-28,36.7,High
1047,Symptoms of Anxiety Disorder or Depressive Disorder,By State,West Virginia,2020-05-28,38.9,High
1048,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Wisconsin,2020-05-28,26.7,Mild
1049,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Wyoming,2020-05-28,32.9,Moderate
1051,Symptoms of Depressive Disorder,By Age,18 - 29 years,2020-06-04,37.0,High
1052,Symptoms of Depressive Disorder,By Age,30 - 39 years,2020-06-04,29.1,Mild
1053,Symptoms of Depressive Disorder,By Age,40 - 49 years,2020-06-04,27.0,Mild
1054,Symptoms of Depressive Disorder,By Age,50 - 59 years,2020-06-04,26.0,Mild
1055,Symptoms of Depressive Disorder,By Age,60 - 69 years,2020-06-04,19.8,Mild
1056,Symptoms of Depressive Disorder,By Age,70 - 79 years,2020-06-04,13.1,Mild
1057,Symptoms of Depressive Disorder,By Age,80 years and above,2020-06-04,12.3,Mild
1058,Symptoms of Depressive Disorder,By Sex,Male,2020-06-04,23.7,Mild
1059,Symptoms of Depressive Disorder,By Sex,Female,2020-06-04,27.8,Mild
1060,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Hispanic or Latino,2020-06-04,30.8,Moderate
1061,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,"Non-Hispanic White, single race",2020-06-04,23.9,Mild
1062,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,"Non-Hispanic Black, single race",2020-06-04,29.6,Mild
1063,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,"Non-Hispanic Asian, single race",2020-06-04,19.8,Mild
1064,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,"Non-Hispanic, other races and multiple races",2020-06-04,33.9,Moderate
1065,Symptoms of Depressive Disorder,By Education,Less than a high school diploma,2020-06-04,37.1,High
1066,Symptoms of Depressive Disorder,By Education,High school diploma or GED,2020-06-04,27.6,Mild
1067,Symptoms of Depressive Disorder,By Education,Some college/Associate's degree,2020-06-04,28.2,Mild
1068,Symptoms of Depressive Disorder,By Education,Bachelor's degree or higher,2020-06-04,18.9,Mild
1069,Symptoms of Depressive Disorder,By State,Alabama,2020-06-04,27.7,Mild
1070,Symptoms of Depressive Disorder,By State,Alaska,2020-06-04,21.5,Mild
1071,Symptoms of Depressive Disorder,By State,Arizona,2020-06-04,26.5,Mild
1072,Symptoms of Depressive Disorder,By State,Arkansas,2020-06-04,26.5,Mild
1073,Symptoms of Depressive Disorder,By State,California,2020-06-04,28.6,Mild
1074,Symptoms of Depressive Disorder,By State,Colorado,2020-06-04,23.9,Mild
1075,Symptoms of Depressive Disorder,By State,Connecticut,2020-06-04,20.7,Mild
1076,Symptoms of Depressive Disorder,By State,Delaware,2020-06-04,25.3,Mild
1077,Symptoms of Depressive Disorder,By State,District of Columbia,2020-06-04,25.9,Mild
1078,Symptoms of Depressive Disorder,By State,Florida,2020-06-04,30.2,Moderate
1079,Symptoms of Depressive Disorder,By State,Georgia,2020-06-04,25.6,Mild
1080,Symptoms of Depressive Disorder,By State,Hawaii,2020-06-04,19.5,Mild
1081,Symptoms of Depressive Disorder,By State,Idaho,2020-06-04,19.2,Mild
1082,Symptoms of Depressive Disorder,By State,Illinois,2020-06-04,27.9,Mild
1083,Symptoms of Depressive Disorder,By State,Indiana,2020-06-04,22.2,Mild
1084,Symptoms of Depressive Disorder,By State,Iowa,2020-06-04,25.7,Mild
1085,Symptoms of Depressive Disorder,By State,Kansas,2020-06-04,28.6,Mild
1086,Symptoms of Depressive Disorder,By State,Kentucky,2020-06-04,25.5,Mild
1087,Symptoms of Depressive Disorder,By State,Louisiana,2020-06-04,28.4,Mild
1088,Symptoms of Depressive Disorder,By State,Maine,2020-06-04,20.6,Mild
1089,Symptoms of Depressive Disorder,By State,Maryland,2020-06-04,18.4,Mild
1090,Symptoms of Depressive Disorder,By State,Massachusetts,2020-06-04,21.8,Mild
1091,Symptoms of Depressive Disorder,By State,Michigan,2020-06-04,19.1,Mild
1092,Symptoms of Depressive Disorder,By State,Minnesota,2020-06-04,19.7,Mild
1093,Symptoms of Depressive Disorder,By State,Mississippi,2020-06-04,29.6,Mild
1094,Symptoms of Depressive Disorder,By State,Missouri,2020-06-04,23.1,Mild
1095,Symptoms of Depressive Disorder,By State,Montana,2020-06-04,17.5,Mild
1096,Symptoms of Depressive Disorder,By State,Nebraska,2020-06-04,21.7,Mild
1097,Symptoms of Depressive Disorder,By State,Nevada,2020-06-04,27.6,Mild
1098,Symptoms of Depressive Disorder,By State,New Hampshire,2020-06-04,26.2,Mild
1099,Symptoms of Depressive Disorder,By State,New Jersey,2020-06-04,21.8,Mild
1100,Symptoms of Depressive Disorder,By State,New Mexico,2020-06-04,23.7,Mild
1101,Symptoms of Depressive Disorder,By State,New York,2020-06-04,28.5,Mild
1102,Symptoms of Depressive Disorder,By State,North Carolina,2020-06-04,21.6,Mild
1103,Symptoms of Depressive Disorder,By State,North Dakota,2020-06-04,14.7,Mild
1104,Symptoms of Depressive Disorder,By State,Ohio,2020-06-04,26.4,Mild
1105,Symptoms of Depressive Disorder,By State,Oklahoma,2020-06-04,24.7,Mild
1106,Symptoms of Depressive Disorder,By State,Oregon,2020-06-04,27.1,Mild
1107,Symptoms of Depressive Disorder,By State,Pennsylvania,2020-06-04,24.7,Mild
1108,Symptoms of Depressive Disorder,By State,Rhode Island,2020-06-04,19.0,Mild
1109,Symptoms of Depressive Disorder,By State,South Carolina,2020-06-04,25.0,Mild
1110,Symptoms of Depressive Disorder,By State,South Dakota,2020-06-04,21.2,Mild
1111,Symptoms of Depressive Disorder,By State,Tennessee,2020-06-04,27.2,Mild
1112,Symptoms of Depressive Disorder,By State,Texas,2020-06-04,30.3,Moderate
1113,Symptoms of Depressive Disorder,By State,Utah,2020-06-04,25.3,Mild
1114,Symptoms of Depressive Disorder,By State,Vermont,2020-06-04,25.1,Mild
1115,Symptoms of Depressive Disorder,By State,Virginia,2020-06-04,27.5,Mild
1116,Symptoms of Depressive Disorder,By State,Washington,2020-06-04,21.4,Mild
1117,Symptoms of Depressive Disorder,By State,West Virginia,2020-06-04,27.9,Mild
1118,Symptoms of Depressive Disorder,By State,Wisconsin,2020-06-04,19.5,Mild
1119,Symptoms of Depressive Disorder,By State,Wyoming,2020-06-04,20.9,Mild
1121,Symptoms of Anxiety Disorder,By Age,18 - 29 years,2020-06-04,41.7,Extreme
1122,Symptoms of Anxiety Disorder,By Age,30 - 39 years,2020-06-04,36.8,High
1123,Symptoms of Anxiety Disorder,By Age,40 - 49 years,2020-06-04,34.9,Moderate
1124,Symptoms of Anxiety Disorder,By Age,50 - 59 years,2020-06-04,31.8,Moderate
1125,Symptoms of Anxiety Disorder,By Age,60 - 69 years,2020-06-04,22.3,Mild
1126,Symptoms of Anxiety Disorder,By Age,70 - 79 years,2020-06-04,15.4,Mild
1127,Symptoms of Anxiety Disorder,By Age,80 years and above,2020-06-04,13.7,Mild
1128,Symptoms of Anxiety Disorder,By Sex,Male,2020-06-04,26.8,Mild
1129,Symptoms of Anxiety Disorder,By Sex,Female,2020-06-04,35.1,High
1130,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Hispanic or Latino,2020-06-04,34.0,Moderate
1131,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,"Non-Hispanic White, single race",2020-06-04,29.6,Mild
1132,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,"Non-Hispanic Black, single race",2020-06-04,34.6,Moderate
1133,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,"Non-Hispanic Asian, single race",2020-06-04,25.6,Mild
1134,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,"Non-Hispanic, other races and multiple races",2020-06-04,40.4,Extreme
1135,Symptoms of Anxiety Disorder,By Education,Less than a high school diploma,2020-06-04,36.9,High
1136,Symptoms of Anxiety Disorder,By Education,High school diploma or GED,2020-06-04,31.0,Moderate
1137,Symptoms of Anxiety Disorder,By Education,Some college/Associate's degree,2020-06-04,33.6,Moderate
1138,Symptoms of Anxiety Disorder,By Education,Bachelor's degree or higher,2020-06-04,27.3,Mild
1139,Symptoms of Anxiety Disorder,By State,Alabama,2020-06-04,33.7,Moderate
1140,Symptoms of Anxiety Disorder,By State,Alaska,2020-06-04,26.2,Mild
1141,Symptoms of Anxiety Disorder,By State,Arizona,2020-06-04,30.8,Moderate
1142,Symptoms of Anxiety Disorder,By State,Arkansas,2020-06-04,31.6,Moderate
1143,Symptoms of Anxiety Disorder,By State,California,2020-06-04,33.7,Moderate
1144,Symptoms of Anxiety Disorder,By State,Colorado,2020-06-04,30.9,Moderate
1145,Symptoms of Anxiety Disorder,By State,Connecticut,2020-06-04,27.7,Mild
1146,Symptoms of Anxiety Disorder,By State,Delaware,2020-06-04,28.5,Mild
1147,Symptoms of Anxiety Disorder,By State,District of Columbia,2020-06-04,33.0,Moderate
1148,Symptoms of Anxiety Disorder,By State,Florida,2020-06-04,34.8,Moderate
1149,Symptoms of Anxiety Disorder,By State,Georgia,2020-06-04,32.7,Moderate
1150,Symptoms of Anxiety Disorder,By State,Hawaii,2020-06-04,20.7,Mild
