,Indicator,Group,Subgroup,Time_Period,Value,Risk
7592,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,30 - 39 years,2021-08-04,40.6,Extreme
7593,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,40 - 49 years,2021-08-04,32.8,High
7594,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,50 - 59 years,2021-08-04,28.4,Moderate
7595,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,60 - 69 years,2021-08-04,21.0,Mild
7596,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,70 - 79 years,2021-08-04,15.4,Mild
7597,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,80 years and above,2021-08-04,16.1,Mild
7669,Symptoms of Depressive Disorder,By Age,18 - 29 years,2021-08-18,36.7,Extreme
7670,Symptoms of Depressive Disorder,By Age,30 - 39 years,2021-08-18,28.1,Moderate
7671,Symptoms of Depressive Disorder,By Age,40 - 49 years,2021-08-18,22.9,Mild
7672,Symptoms of Depressive Disorder,By Age,50 - 59 years,2021-08-18,20.8,Mild
7673,Symptoms of Depressive Disorder,By Age,60 - 69 years,2021-08-18,16.0,Mild
7674,Symptoms of Depressive Disorder,By Age,70 - 79 years,2021-08-18,10.9,Mild
7675,Symptoms of Depressive Disorder,By Age,80 years and above,2021-08-18,9.8,Mild
7747,Symptoms of Anxiety Disorder,By Age,18 - 29 years,2021-08-18,39.9,Extreme
7748,Symptoms of Anxiety Disorder,By Age,30 - 39 years,2021-08-18,36.2,Extreme
7749,Symptoms of Anxiety Disorder,By Age,40 - 49 years,2021-08-18,31.3,High
7750,Symptoms of Anxiety Disorder,By Age,50 - 59 years,2021-08-18,27.1,Moderate
7751,Symptoms of Anxiety Disorder,By Age,60 - 69 years,2021-08-18,18.4,Mild
7752,Symptoms of Anxiety Disorder,By Age,70 - 79 years,2021-08-18,13.5,Mild
7753,Symptoms of Anxiety Disorder,By Age,80 years and above,2021-08-18,11.1,Mild
7825,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,18 - 29 years,2021-08-18,46.7,Extreme
7826,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,30 - 39 years,2021-08-18,40.7,Extreme
7827,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,40 - 49 years,2021-08-18,35.3,Extreme
7828,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,50 - 59 years,2021-08-18,30.6,High
7829,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,60 - 69 years,2021-08-18,22.5,Mild
7830,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,70 - 79 years,2021-08-18,16.8,Mild
7831,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,80 years and above,2021-08-18,13.5,Mild
7903,Symptoms of Depressive Disorder,By Age,18 - 29 years,2021-09-01,38.1,Extreme
7904,Symptoms of Depressive Disorder,By Age,30 - 39 years,2021-09-01,26.5,Moderate
7905,Symptoms of Depressive Disorder,By Age,40 - 49 years,2021-09-01,24.8,Moderate
7906,Symptoms of Depressive Disorder,By Age,50 - 59 years,2021-09-01,19.8,Mild
7907,Symptoms of Depressive Disorder,By Age,60 - 69 years,2021-09-01,15.2,Mild
7908,Symptoms of Depressive Disorder,By Age,70 - 79 years,2021-09-01,10.1,Mild
7909,Symptoms of Depressive Disorder,By Age,80 years and above,2021-09-01,12.5,Mild
7981,Symptoms of Anxiety Disorder,By Age,18 - 29 years,2021-09-01,43.6,Extreme
7982,Symptoms of Anxiety Disorder,By Age,30 - 39 years,2021-09-01,36.0,Extreme
7983,Symptoms of Anxiety Disorder,By Age,40 - 49 years,2021-09-01,31.9,High
7984,Symptoms of Anxiety Disorder,By Age,50 - 59 years,2021-09-01,25.3,Moderate
7985,Symptoms of Anxiety Disorder,By Age,60 - 69 years,2021-09-01,18.9,Mild
7986,Symptoms of Anxiety Disorder,By Age,70 - 79 years,2021-09-01,12.5,Mild
7987,Symptoms of Anxiety Disorder,By Age,80 years and above,2021-09-01,13.8,Mild
8059,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,18 - 29 years,2021-09-01,50.0,Extreme
8060,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,30 - 39 years,2021-09-01,40.5,Extreme
8061,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,40 - 49 years,2021-09-01,35.4,Extreme
8062,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,50 - 59 years,2021-09-01,29.1,Moderate
8063,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,60 - 69 years,2021-09-01,22.3,Mild
8064,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,70 - 79 years,2021-09-01,15.0,Mild
8065,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,80 years and above,2021-09-01,16.8,Mild
8137,Symptoms of Depressive Disorder,By Age,18 - 29 years,2021-09-15,36.4,Extreme
8138,Symptoms of Depressive Disorder,By Age,30 - 39 years,2021-09-15,26.8,Moderate
8139,Symptoms of Depressive Disorder,By Age,40 - 49 years,2021-09-15,22.3,Mild
8140,Symptoms of Depressive Disorder,By Age,50 - 59 years,2021-09-15,21.9,Mild
8141,Symptoms of Depressive Disorder,By Age,60 - 69 years,2021-09-15,15.5,Mild
8142,Symptoms of Depressive Disorder,By Age,70 - 79 years,2021-09-15,10.7,Mild
8143,Symptoms of Depressive Disorder,By Age,80 years and above,2021-09-15,12.2,Mild
8215,Symptoms of Anxiety Disorder,By Age,18 - 29 years,2021-09-15,42.1,Extreme
8216,Symptoms of Anxiety Disorder,By Age,30 - 39 years,2021-09-15,34.7,High
8217,Symptoms of Anxiety Disorder,By Age,40 - 49 years,2021-09-15,30.3,High
8218,Symptoms of Anxiety Disorder,By Age,50 - 59 years,2021-09-15,27.7,Moderate
8219,Symptoms of Anxiety Disorder,By Age,60 - 69 years,2021-09-15,19.0,Mild
8220,Symptoms of Anxiety Disorder,By Age,70 - 79 years,2021-09-15,12.3,Mild
8221,Symptoms of Anxiety Disorder,By Age,80 years and above,2021-09-15,12.2,Mild
8293,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,18 - 29 years,2021-09-15,49.1,Extreme
8294,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,30 - 39 years,2021-09-15,38.8,Extreme
8295,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,40 - 49 years,2021-09-15,34.2,High
8296,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,50 - 59 years,2021-09-15,31.7,High
8297,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,60 - 69 years,2021-09-15,23.2,Mild
8298,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,70 - 79 years,2021-09-15,15.2,Mild
8299,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,80 years and above,2021-09-15,16.4,Mild
8371,Symptoms of Depressive Disorder,By Age,18 - 29 years,2021-09-29,36.0,Extreme
8372,Symptoms of Depressive Disorder,By Age,30 - 39 years,2021-09-29,25.7,Moderate
8373,Symptoms of Depressive Disorder,By Age,40 - 49 years,2021-09-29,23.9,Mild
8374,Symptoms of Depressive Disorder,By Age,50 - 59 years,2021-09-29,20.3,Mild
8375,Symptoms of Depressive Disorder,By Age,60 - 69 years,2021-09-29,15.1,Mild
8376,Symptoms of Depressive Disorder,By Age,70 - 79 years,2021-09-29,10.5,Mild
8377,Symptoms of Depressive Disorder,By Age,80 years and above,2021-09-29,12.5,Mild
8449,Symptoms of Anxiety Disorder,By Age,18 - 29 years,2021-09-29,41.0,Extreme
8450,Symptoms of Anxiety Disorder,By Age,30 - 39 years,2021-09-29,34.9,High
8451,Symptoms of Anxiety Disorder,By Age,40 - 49 years,2021-09-29,31.2,High
8452,Symptoms of Anxiety Disorder,By Age,50 - 59 years,2021-09-29,25.8,Moderate
8453,Symptoms of Anxiety Disorder,By Age,60 - 69 years,2021-09-29,18.1,Mild
8454,Symptoms of Anxiety Disorder,By Age,70 - 79 years,2021-09-29,12.2,Mild
8455,Symptoms of Anxiety Disorder,By Age,80 years and above,2021-09-29,16.2,Mild
8527,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,18 - 29 years,2021-09-29,47.7,Extreme
8528,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,30 - 39 years,2021-09-29,39.2,Extreme
8529,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,40 - 49 years,2021-09-29,35.5,Extreme
8530,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,50 - 59 years,2021-09-29,29.4,Moderate
8531,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,60 - 69 years,2021-09-29,22.1,Mild
8532,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,70 - 79 years,2021-09-29,15.1,Mild
8533,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,80 years and above,2021-09-29,18.4,Mild
8626,Symptoms of Depressive Disorder,By Age,18 - 29 years,2021-12-01,32.6,High
8627,Symptoms of Depressive Disorder,By Age,30 - 39 years,2021-12-01,25.3,Moderate
8628,Symptoms of Depressive Disorder,By Age,40 - 49 years,2021-12-01,24.0,Mild
8629,Symptoms of Depressive Disorder,By Age,50 - 59 years,2021-12-01,21.0,Mild
8630,Symptoms of Depressive Disorder,By Age,60 - 69 years,2021-12-01,14.4,Mild
8631,Symptoms of Depressive Disorder,By Age,70 - 79 years,2021-12-01,9.4,Mild
8632,Symptoms of Depressive Disorder,By Age,80 years and above,2021-12-01,13.2,Mild
8725,Symptoms of Anxiety Disorder,By Age,18 - 29 years,2021-12-01,37.7,Extreme
8726,Symptoms of Anxiety Disorder,By Age,30 - 39 years,2021-12-01,32.3,High
8727,Symptoms of Anxiety Disorder,By Age,40 - 49 years,2021-12-01,32.3,High
8728,Symptoms of Anxiety Disorder,By Age,50 - 59 years,2021-12-01,25.8,Moderate
8729,Symptoms of Anxiety Disorder,By Age,60 - 69 years,2021-12-01,17.5,Mild
8730,Symptoms of Anxiety Disorder,By Age,70 - 79 years,2021-12-01,11.4,Mild
8731,Symptoms of Anxiety Disorder,By Age,80 years and above,2021-12-01,13.0,Mild
8824,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,18 - 29 years,2021-12-01,44.5,Extreme
8825,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,30 - 39 years,2021-12-01,37.2,Extreme
8826,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,40 - 49 years,2021-12-01,35.4,Extreme
8827,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,50 - 59 years,2021-12-01,29.7,Moderate
8828,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,60 - 69 years,2021-12-01,21.0,Mild
8829,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,70 - 79 years,2021-12-01,14.2,Mild
8830,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,80 years and above,2021-12-01,17.4,Mild
