,Indicator,Group,Subgroup,Time Period Start Date,Value,Risk
1166,Symptoms of Anxiety Disorder,By State,Nebraska,06/04/2020,23.5,Mild
1167,Symptoms of Anxiety Disorder,By State,Nevada,06/04/2020,33.3,High
1168,Symptoms of Anxiety Disorder,By State,New Hampshire,06/04/2020,31.7,High
1169,Symptoms of Anxiety Disorder,By State,New Jersey,06/04/2020,30.7,High
1170,Symptoms of Anxiety Disorder,By State,New Mexico,06/04/2020,28.6,Moderate
1171,Symptoms of Anxiety Disorder,By State,New York,06/04/2020,36.3,Extreme
1172,Symptoms of Anxiety Disorder,By State,North Carolina,06/04/2020,33.3,High
1173,Symptoms of Anxiety Disorder,By State,North Dakota,06/04/2020,20.2,Mild
1174,Symptoms of Anxiety Disorder,By State,Ohio,06/04/2020,30.6,High
1175,Symptoms of Anxiety Disorder,By State,Oklahoma,06/04/2020,28.9,Moderate
1176,Symptoms of Anxiety Disorder,By State,Oregon,06/04/2020,35.0,High
1177,Symptoms of Anxiety Disorder,By State,Pennsylvania,06/04/2020,29.2,Moderate
1178,Symptoms of Anxiety Disorder,By State,Rhode Island,06/04/2020,26.6,Moderate
1179,Symptoms of Anxiety Disorder,By State,South Carolina,06/04/2020,23.7,Mild
1180,Symptoms of Anxiety Disorder,By State,South Dakota,06/04/2020,25.6,Moderate
1181,Symptoms of Anxiety Disorder,By State,Tennessee,06/04/2020,30.6,High
1182,Symptoms of Anxiety Disorder,By State,Texas,06/04/2020,33.0,High
1183,Symptoms of Anxiety Disorder,By State,Utah,06/04/2020,28.0,Moderate
1184,Symptoms of Anxiety Disorder,By State,Vermont,06/04/2020,29.8,High
1185,Symptoms of Anxiety Disorder,By State,Virginia,06/04/2020,29.5,Moderate
1186,Symptoms of Anxiety Disorder,By State,Washington,06/04/2020,29.4,Moderate
1187,Symptoms of Anxiety Disorder,By State,West Virginia,06/04/2020,35.8,Extreme
1188,Symptoms of Anxiety Disorder,By State,Wisconsin,06/04/2020,25.3,Moderate
1189,Symptoms of Anxiety Disorder,By State,Wyoming,06/04/2020,21.3,Mild
1190,Symptoms of Anxiety Disorder or Depressive Disorder,National Estimate,United States,06/04/2020,36.1,Extreme
1191,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,18 - 29 years,06/04/2020,49.3,Extreme
1192,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,30 - 39 years,06/04/2020,41.5,Extreme
1193,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,40 - 49 years,06/04/2020,39.0,Extreme
1194,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,50 - 59 years,06/04/2020,36.0,Extreme
1195,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,60 - 69 years,06/04/2020,27.4,Moderate
1196,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,70 - 79 years,06/04/2020,19.0,Mild
1197,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,80 years and above,06/04/2020,18.6,Mild
1198,Symptoms of Anxiety Disorder or Depressive Disorder,By Sex,Male,06/04/2020,31.9,High
1199,Symptoms of Anxiety Disorder or Depressive Disorder,By Sex,Female,06/04/2020,40.0,Extreme
1200,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,Hispanic or Latino,06/04/2020,40.8,Extreme
1201,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,"Non-Hispanic White, single race",06/04/2020,34.0,High
1202,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,"Non-Hispanic Black, single race",06/04/2020,40.0,Extreme
1203,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,"Non-Hispanic Asian, single race",06/04/2020,29.2,Moderate
1204,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,"Non-Hispanic, other races and multiple races",06/04/2020,48.1,Extreme
1205,Symptoms of Anxiety Disorder or Depressive Disorder,By Education,Less than a high school diploma,06/04/2020,44.7,Extreme
1206,Symptoms of Anxiety Disorder or Depressive Disorder,By Education,High school diploma or GED,06/04/2020,36.8,Extreme
1207,Symptoms of Anxiety Disorder or Depressive Disorder,By Education,Some college/Associate's degree,06/04/2020,39.3,Extreme
1208,Symptoms of Anxiety Disorder or Depressive Disorder,By Education,Bachelor's degree or higher,06/04/2020,30.2,High
1209,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Alabama,06/04/2020,36.9,Extreme
1210,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Alaska,06/04/2020,35.2,Extreme
1211,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Arizona,06/04/2020,36.8,Extreme
1212,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Arkansas,06/04/2020,38.2,Extreme
1213,Symptoms of Anxiety Disorder or Depressive Disorder,By State,California,06/04/2020,39.7,Extreme
1214,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Colorado,06/04/2020,34.7,High
1215,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Connecticut,06/04/2020,32.8,High
1216,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Delaware,06/04/2020,33.0,High
1217,Symptoms of Anxiety Disorder or Depressive Disorder,By State,District of Columbia,06/04/2020,39.5,Extreme
1218,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Florida,06/04/2020,40.7,Extreme
1219,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Georgia,06/04/2020,35.7,Extreme
1220,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Hawaii,06/04/2020,27.5,Moderate
1221,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Idaho,06/04/2020,32.0,High
1222,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Illinois,06/04/2020,39.5,Extreme
1223,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Indiana,06/04/2020,32.1,High
1224,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Iowa,06/04/2020,34.9,High
1225,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Kansas,06/04/2020,36.6,Extreme
1226,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Kentucky,06/04/2020,37.6,Extreme
1227,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Louisiana,06/04/2020,36.5,Extreme
1228,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Maine,06/04/2020,35.4,Extreme
1229,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Maryland,06/04/2020,26.9,Moderate
1230,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Massachusetts,06/04/2020,31.0,High
1231,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Michigan,06/04/2020,28.1,Moderate
1232,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Minnesota,06/04/2020,31.0,High
1233,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Mississippi,06/04/2020,38.4,Extreme
1234,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Missouri,06/04/2020,29.5,Moderate
1235,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Montana,06/04/2020,30.4,High
1236,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Nebraska,06/04/2020,31.0,High
1237,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Nevada,06/04/2020,38.5,Extreme
1238,Symptoms of Anxiety Disorder or Depressive Disorder,By State,New Hampshire,06/04/2020,35.1,High
1239,Symptoms of Anxiety Disorder or Depressive Disorder,By State,New Jersey,06/04/2020,33.8,High
1240,Symptoms of Anxiety Disorder or Depressive Disorder,By State,New Mexico,06/04/2020,34.7,High
1241,Symptoms of Anxiety Disorder or Depressive Disorder,By State,New York,06/04/2020,38.6,Extreme
1242,Symptoms of Anxiety Disorder or Depressive Disorder,By State,North Carolina,06/04/2020,36.2,Extreme
1243,Symptoms of Anxiety Disorder or Depressive Disorder,By State,North Dakota,06/04/2020,23.0,Mild
1244,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Ohio,06/04/2020,36.9,Extreme
1245,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Oklahoma,06/04/2020,33.7,High
1246,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Oregon,06/04/2020,40.5,Extreme
1247,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Pennsylvania,06/04/2020,33.9,High
1248,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Rhode Island,06/04/2020,29.2,Moderate
1249,Symptoms of Anxiety Disorder or Depressive Disorder,By State,South Carolina,06/04/2020,31.4,High
1250,Symptoms of Anxiety Disorder or Depressive Disorder,By State,South Dakota,06/04/2020,29.8,High
1251,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Tennessee,06/04/2020,38.0,Extreme
1252,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Texas,06/04/2020,39.6,Extreme
1253,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Utah,06/04/2020,34.1,High
1254,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Vermont,06/04/2020,33.7,High
1255,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Virginia,06/04/2020,36.5,Extreme
1256,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Washington,06/04/2020,31.9,High
1257,Symptoms of Anxiety Disorder or Depressive Disorder,By State,West Virginia,06/04/2020,38.9,Extreme
1258,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Wisconsin,06/04/2020,28.3,Moderate
1259,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Wyoming,06/04/2020,29.4,Moderate
1260,Symptoms of Depressive Disorder,National Estimate,United States,06/11/2020,25.1,Moderate
1261,Symptoms of Depressive Disorder,By Age,18 - 29 years,06/11/2020,36.8,Extreme
1262,Symptoms of Depressive Disorder,By Age,30 - 39 years,06/11/2020,26.7,Moderate
1263,Symptoms of Depressive Disorder,By Age,40 - 49 years,06/11/2020,25.9,Moderate
1264,Symptoms of Depressive Disorder,By Age,50 - 59 years,06/11/2020,24.6,Mild
1265,Symptoms of Depressive Disorder,By Age,60 - 69 years,06/11/2020,19.6,Mild
1266,Symptoms of Depressive Disorder,By Age,70 - 79 years,06/11/2020,15.5,Mild
1267,Symptoms of Depressive Disorder,By Age,80 years and above,06/11/2020,9.9,Mild
1268,Symptoms of Depressive Disorder,By Sex,Male,06/11/2020,23.3,Mild
1269,Symptoms of Depressive Disorder,By Sex,Female,06/11/2020,26.7,Moderate
1270,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Hispanic or Latino,06/11/2020,28.4,Moderate
1271,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,"Non-Hispanic White, single race",06/11/2020,23.5,Mild
1272,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,"Non-Hispanic Black, single race",06/11/2020,28.3,Moderate
1273,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,"Non-Hispanic Asian, single race",06/11/2020,21.0,Mild
1274,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,"Non-Hispanic, other races and multiple races",06/11/2020,32.3,High
1275,Symptoms of Depressive Disorder,By Education,Less than a high school diploma,06/11/2020,31.4,High
1276,Symptoms of Depressive Disorder,By Education,High school diploma or GED,06/11/2020,27.5,Moderate
1277,Symptoms of Depressive Disorder,By Education,Some college/Associate's degree,06/11/2020,28.4,Moderate
1278,Symptoms of Depressive Disorder,By Education,Bachelor's degree or higher,06/11/2020,17.9,Mild
1279,Symptoms of Depressive Disorder,By State,Alabama,06/11/2020,26.7,Moderate
1280,Symptoms of Depressive Disorder,By State,Alaska,06/11/2020,23.5,Mild
1281,Symptoms of Depressive Disorder,By State,Arizona,06/11/2020,25.0,Moderate
1282,Symptoms of Depressive Disorder,By State,Arkansas,06/11/2020,29.6,Moderate
1283,Symptoms of Depressive Disorder,By State,California,06/11/2020,27.2,Moderate
1284,Symptoms of Depressive Disorder,By State,Colorado,06/11/2020,22.1,Mild
1285,Symptoms of Depressive Disorder,By State,Connecticut,06/11/2020,25.5,Moderate
1286,Symptoms of Depressive Disorder,By State,Delaware,06/11/2020,24.4,Mild
1287,Symptoms of Depressive Disorder,By State,District of Columbia,06/11/2020,16.3,Mild
1288,Symptoms of Depressive Disorder,By State,Florida,06/11/2020,28.1,Moderate
1289,Symptoms of Depressive Disorder,By State,Georgia,06/11/2020,25.7,Moderate
1290,Symptoms of Depressive Disorder,By State,Hawaii,06/11/2020,26.8,Moderate
1291,Symptoms of Depressive Disorder,By State,Idaho,06/11/2020,14.3,Mild
1292,Symptoms of Depressive Disorder,By State,Illinois,06/11/2020,24.8,Moderate
1293,Symptoms of Depressive Disorder,By State,Indiana,06/11/2020,26.6,Moderate
1294,Symptoms of Depressive Disorder,By State,Iowa,06/11/2020,22.4,Mild
1295,Symptoms of Depressive Disorder,By State,Kansas,06/11/2020,24.6,Mild
1296,Symptoms of Depressive Disorder,By State,Kentucky,06/11/2020,22.6,Mild
1297,Symptoms of Depressive Disorder,By State,Louisiana,06/11/2020,34.5,High
1298,Symptoms of Depressive Disorder,By State,Maine,06/11/2020,23.7,Mild
1299,Symptoms of Depressive Disorder,By State,Maryland,06/11/2020,27.9,Moderate
1300,Symptoms of Depressive Disorder,By State,Massachusetts,06/11/2020,17.0,Mild
1301,Symptoms of Depressive Disorder,By State,Michigan,06/11/2020,21.4,Mild
1302,Symptoms of Depressive Disorder,By State,Minnesota,06/11/2020,19.9,Mild
1303,Symptoms of Depressive Disorder,By State,Mississippi,06/11/2020,24.8,Moderate
1304,Symptoms of Depressive Disorder,By State,Missouri,06/11/2020,26.1,Moderate
1305,Symptoms of Depressive Disorder,By State,Montana,06/11/2020,21.8,Mild
1306,Symptoms of Depressive Disorder,By State,Nebraska,06/11/2020,20.3,Mild
1307,Symptoms of Depressive Disorder,By State,Nevada,06/11/2020,30.4,High
1308,Symptoms of Depressive Disorder,By State,New Hampshire,06/11/2020,21.7,Mild
1309,Symptoms of Depressive Disorder,By State,New Jersey,06/11/2020,26.9,Moderate
1310,Symptoms of Depressive Disorder,By State,New Mexico,06/11/2020,18.8,Mild
1311,Symptoms of Depressive Disorder,By State,New York,06/11/2020,23.4,Mild
1312,Symptoms of Depressive Disorder,By State,North Carolina,06/11/2020,23.9,Mild
1313,Symptoms of Depressive Disorder,By State,North Dakota,06/11/2020,23.4,Mild
1314,Symptoms of Depressive Disorder,By State,Ohio,06/11/2020,26.8,Moderate
1315,Symptoms of Depressive Disorder,By State,Oklahoma,06/11/2020,22.5,Mild
1316,Symptoms of Depressive Disorder,By State,Oregon,06/11/2020,31.1,High
1317,Symptoms of Depressive Disorder,By State,Pennsylvania,06/11/2020,25.5,Moderate
1318,Symptoms of Depressive Disorder,By State,Rhode Island,06/11/2020,24.1,Mild
1319,Symptoms of Depressive Disorder,By State,South Carolina,06/11/2020,28.1,Moderate
1320,Symptoms of Depressive Disorder,By State,South Dakota,06/11/2020,19.2,Mild
1321,Symptoms of Depressive Disorder,By State,Tennessee,06/11/2020,21.5,Mild
1322,Symptoms of Depressive Disorder,By State,Texas,06/11/2020,27.6,Moderate
1323,Symptoms of Depressive Disorder,By State,Utah,06/11/2020,18.5,Mild
1324,Symptoms of Depressive Disorder,By State,Vermont,06/11/2020,26.2,Moderate
1325,Symptoms of Depressive Disorder,By State,Virginia,06/11/2020,23.3,Mild
1326,Symptoms of Depressive Disorder,By State,Washington,06/11/2020,22.5,Mild
1327,Symptoms of Depressive Disorder,By State,West Virginia,06/11/2020,23.5,Mild
1328,Symptoms of Depressive Disorder,By State,Wisconsin,06/11/2020,17.5,Mild
1329,Symptoms of Depressive Disorder,By State,Wyoming,06/11/2020,18.9,Mild
1330,Symptoms of Anxiety Disorder,National Estimate,United States,06/11/2020,31.7,High
1331,Symptoms of Anxiety Disorder,By Age,18 - 29 years,06/11/2020,42.9,Extreme
1332,Symptoms of Anxiety Disorder,By Age,30 - 39 years,06/11/2020,35.8,Extreme
1333,Symptoms of Anxiety Disorder,By Age,40 - 49 years,06/11/2020,34.8,High
1334,Symptoms of Anxiety Disorder,By Age,50 - 59 years,06/11/2020,31.7,High
1335,Symptoms of Anxiety Disorder,By Age,60 - 69 years,06/11/2020,23.6,Mild
1336,Symptoms of Anxiety Disorder,By Age,70 - 79 years,06/11/2020,18.0,Mild
1337,Symptoms of Anxiety Disorder,By Age,80 years and above,06/11/2020,14.6,Mild
1338,Symptoms of Anxiety Disorder,By Sex,Male,06/11/2020,28.1,Moderate
1339,Symptoms of Anxiety Disorder,By Sex,Female,06/11/2020,35.0,High
1340,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Hispanic or Latino,06/11/2020,33.6,High
1341,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,"Non-Hispanic White, single race",06/11/2020,30.6,High
1342,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,"Non-Hispanic Black, single race",06/11/2020,35.8,Extreme
1343,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,"Non-Hispanic Asian, single race",06/11/2020,26.0,Moderate
1344,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,"Non-Hispanic, other races and multiple races",06/11/2020,37.6,Extreme
1345,Symptoms of Anxiety Disorder,By Education,Less than a high school diploma,06/11/2020,37.7,Extreme
1346,Symptoms of Anxiety Disorder,By Education,High school diploma or GED,06/11/2020,32.5,High
1347,Symptoms of Anxiety Disorder,By Education,Some college/Associate's degree,06/11/2020,34.5,High
1348,Symptoms of Anxiety Disorder,By Education,Bachelor's degree or higher,06/11/2020,26.6,Moderate
1349,Symptoms of Anxiety Disorder,By State,Alabama,06/11/2020,33.9,High
1350,Symptoms of Anxiety Disorder,By State,Alaska,06/11/2020,33.3,High
1351,Symptoms of Anxiety Disorder,By State,Arizona,06/11/2020,25.6,Moderate
1352,Symptoms of Anxiety Disorder,By State,Arkansas,06/11/2020,33.7,High
1353,Symptoms of Anxiety Disorder,By State,California,06/11/2020,33.7,High
1354,Symptoms of Anxiety Disorder,By State,Colorado,06/11/2020,29.8,High
1355,Symptoms of Anxiety Disorder,By State,Connecticut,06/11/2020,35.1,High
1356,Symptoms of Anxiety Disorder,By State,Delaware,06/11/2020,30.2,High
1357,Symptoms of Anxiety Disorder,By State,District of Columbia,06/11/2020,25.9,Moderate
1358,Symptoms of Anxiety Disorder,By State,Florida,06/11/2020,37.4,Extreme
1359,Symptoms of Anxiety Disorder,By State,Georgia,06/11/2020,33.3,High
1360,Symptoms of Anxiety Disorder,By State,Hawaii,06/11/2020,31.7,High
1361,Symptoms of Anxiety Disorder,By State,Idaho,06/11/2020,26.0,Moderate
1362,Symptoms of Anxiety Disorder,By State,Illinois,06/11/2020,31.0,High
1363,Symptoms of Anxiety Disorder,By State,Indiana,06/11/2020,33.8,High
1364,Symptoms of Anxiety Disorder,By State,Iowa,06/11/2020,26.1,Moderate
1365,Symptoms of Anxiety Disorder,By State,Kansas,06/11/2020,30.5,High
1366,Symptoms of Anxiety Disorder,By State,Kentucky,06/11/2020,26.6,Moderate
1367,Symptoms of Anxiety Disorder,By State,Louisiana,06/11/2020,38.4,Extreme
1368,Symptoms of Anxiety Disorder,By State,Maine,06/11/2020,32.2,High
1369,Symptoms of Anxiety Disorder,By State,Maryland,06/11/2020,34.6,High
1370,Symptoms of Anxiety Disorder,By State,Massachusetts,06/11/2020,27.3,Moderate
1371,Symptoms of Anxiety Disorder,By State,Michigan,06/11/2020,30.2,High
1372,Symptoms of Anxiety Disorder,By State,Minnesota,06/11/2020,28.0,Moderate
1373,Symptoms of Anxiety Disorder,By State,Mississippi,06/11/2020,31.6,High
1374,Symptoms of Anxiety Disorder,By State,Missouri,06/11/2020,33.3,High
1375,Symptoms of Anxiety Disorder,By State,Montana,06/11/2020,30.6,High
1376,Symptoms of Anxiety Disorder,By State,Nebraska,06/11/2020,24.1,Mild
1377,Symptoms of Anxiety Disorder,By State,Nevada,06/11/2020,33.5,High
1378,Symptoms of Anxiety Disorder,By State,New Hampshire,06/11/2020,28.1,Moderate
1379,Symptoms of Anxiety Disorder,By State,New Jersey,06/11/2020,33.5,High
1380,Symptoms of Anxiety Disorder,By State,New Mexico,06/11/2020,22.7,Mild
1381,Symptoms of Anxiety Disorder,By State,New York,06/11/2020,28.7,Moderate
1382,Symptoms of Anxiety Disorder,By State,North Carolina,06/11/2020,30.0,High
1383,Symptoms of Anxiety Disorder,By State,North Dakota,06/11/2020,30.3,High
1384,Symptoms of Anxiety Disorder,By State,Ohio,06/11/2020,31.5,High
1385,Symptoms of Anxiety Disorder,By State,Oklahoma,06/11/2020,30.9,High
1386,Symptoms of Anxiety Disorder,By State,Oregon,06/11/2020,39.8,Extreme
1387,Symptoms of Anxiety Disorder,By State,Pennsylvania,06/11/2020,28.4,Moderate
1388,Symptoms of Anxiety Disorder,By State,Rhode Island,06/11/2020,25.5,Moderate
1389,Symptoms of Anxiety Disorder,By State,South Carolina,06/11/2020,30.6,High
1390,Symptoms of Anxiety Disorder,By State,South Dakota,06/11/2020,24.5,Mild
1391,Symptoms of Anxiety Disorder,By State,Tennessee,06/11/2020,28.7,Moderate
1392,Symptoms of Anxiety Disorder,By State,Texas,06/11/2020,35.5,Extreme
1393,Symptoms of Anxiety Disorder,By State,Utah,06/11/2020,32.0,High
1394,Symptoms of Anxiety Disorder,By State,Vermont,06/11/2020,33.0,High
1395,Symptoms of Anxiety Disorder,By State,Virginia,06/11/2020,30.1,High
1396,Symptoms of Anxiety Disorder,By State,Washington,06/11/2020,29.3,Moderate
1397,Symptoms of Anxiety Disorder,By State,West Virginia,06/11/2020,26.7,Moderate
1398,Symptoms of Anxiety Disorder,By State,Wisconsin,06/11/2020,23.5,Mild
1399,Symptoms of Anxiety Disorder,By State,Wyoming,06/11/2020,24.2,Mild
1400,Symptoms of Anxiety Disorder or Depressive Disorder,National Estimate,United States,06/11/2020,36.0,Extreme
1401,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,18 - 29 years,06/11/2020,48.7,Extreme
1402,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,30 - 39 years,06/11/2020,40.3,Extreme
1403,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,40 - 49 years,06/11/2020,38.4,Extreme
1404,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,50 - 59 years,06/11/2020,35.8,Extreme
1405,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,60 - 69 years,06/11/2020,27.7,Moderate
1406,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,70 - 79 years,06/11/2020,21.7,Mild
1407,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,80 years and above,06/11/2020,17.6,Mild
1408,Symptoms of Anxiety Disorder or Depressive Disorder,By Sex,Male,06/11/2020,32.7,High
1409,Symptoms of Anxiety Disorder or Depressive Disorder,By Sex,Female,06/11/2020,39.1,Extreme
1410,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,Hispanic or Latino,06/11/2020,39.6,Extreme
1411,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,"Non-Hispanic White, single race",06/11/2020,34.3,High
1412,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,"Non-Hispanic Black, single race",06/11/2020,40.0,Extreme
1413,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,"Non-Hispanic Asian, single race",06/11/2020,29.9,High
1414,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,"Non-Hispanic, other races and multiple races",06/11/2020,44.3,Extreme
1415,Symptoms of Anxiety Disorder or Depressive Disorder,By Education,Less than a high school diploma,06/11/2020,43.7,Extreme
1416,Symptoms of Anxiety Disorder or Depressive Disorder,By Education,High school diploma or GED,06/11/2020,37.4,Extreme
1417,Symptoms of Anxiety Disorder or Depressive Disorder,By Education,Some college/Associate's degree,06/11/2020,39.3,Extreme
1418,Symptoms of Anxiety Disorder or Depressive Disorder,By Education,Bachelor's degree or higher,06/11/2020,29.4,Moderate
1419,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Alabama,06/11/2020,38.1,Extreme
1420,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Alaska,06/11/2020,36.5,Extreme
1421,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Arizona,06/11/2020,33.3,High
1422,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Arkansas,06/11/2020,39.0,Extreme
1423,Symptoms of Anxiety Disorder or Depressive Disorder,By State,California,06/11/2020,37.9,Extreme
1424,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Colorado,06/11/2020,33.5,High
1425,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Connecticut,06/11/2020,38.7,Extreme
1426,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Delaware,06/11/2020,34.7,High
1427,Symptoms of Anxiety Disorder or Depressive Disorder,By State,District of Columbia,06/11/2020,28.9,Moderate
1428,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Florida,06/11/2020,41.8,Extreme
1429,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Georgia,06/11/2020,37.1,Extreme
1430,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Hawaii,06/11/2020,35.3,Extreme
1431,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Idaho,06/11/2020,27.8,Moderate
1432,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Illinois,06/11/2020,34.6,High
1433,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Indiana,06/11/2020,39.3,Extreme
1434,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Iowa,06/11/2020,31.6,High
1435,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Kansas,06/11/2020,37.1,Extreme
1436,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Kentucky,06/11/2020,31.9,High
1437,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Louisiana,06/11/2020,43.5,Extreme
1438,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Maine,06/11/2020,37.9,Extreme
1439,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Maryland,06/11/2020,38.3,Extreme
1440,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Massachusetts,06/11/2020,29.2,Moderate
1441,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Michigan,06/11/2020,32.4,High
1442,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Minnesota,06/11/2020,30.5,High
1443,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Mississippi,06/11/2020,37.5,Extreme
1444,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Missouri,06/11/2020,36.5,Extreme
1445,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Montana,06/11/2020,34.2,High
1446,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Nebraska,06/11/2020,29.7,Moderate
1447,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Nevada,06/11/2020,37.9,Extreme
1448,Symptoms of Anxiety Disorder or Depressive Disorder,By State,New Hampshire,06/11/2020,33.4,High
1449,Symptoms of Anxiety Disorder or Depressive Disorder,By State,New Jersey,06/11/2020,38.7,Extreme
1450,Symptoms of Anxiety Disorder or Depressive Disorder,By State,New Mexico,06/11/2020,25.5,Moderate
1451,Symptoms of Anxiety Disorder or Depressive Disorder,By State,New York,06/11/2020,32.9,High
1452,Symptoms of Anxiety Disorder or Depressive Disorder,By State,North Carolina,06/11/2020,36.2,Extreme
1453,Symptoms of Anxiety Disorder or Depressive Disorder,By State,North Dakota,06/11/2020,33.6,High
1454,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Ohio,06/11/2020,35.6,Extreme
1455,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Oklahoma,06/11/2020,34.9,High
