,Group,Subgroup,Time_Period,Risk
1775,By State,Connecticut,2020-06-25,High
1776,By State,Delaware,2020-06-25,Moderate
1777,By State,District of Columbia,2020-06-25,Moderate
1778,By State,Florida,2020-06-25,Extreme
1779,By State,Georgia,2020-06-25,Extreme
1780,By State,Hawaii,2020-06-25,High
1781,By State,Idaho,2020-06-25,High
1782,By State,Illinois,2020-06-25,High
1783,By State,Indiana,2020-06-25,High
1784,By State,Iowa,2020-06-25,High
1785,By State,Kansas,2020-06-25,Moderate
1786,By State,Kentucky,2020-06-25,High
1787,By State,Louisiana,2020-06-25,Extreme
1788,By State,Maine,2020-06-25,High
1789,By State,Maryland,2020-06-25,Moderate
1790,By State,Massachusetts,2020-06-25,Moderate
1791,By State,Michigan,2020-06-25,Moderate
1792,By State,Minnesota,2020-06-25,Moderate
1793,By State,Mississippi,2020-06-25,Extreme
1794,By State,Missouri,2020-06-25,High
1795,By State,Montana,2020-06-25,Moderate
1796,By State,Nebraska,2020-06-25,Moderate
1797,By State,Nevada,2020-06-25,High
1798,By State,New Hampshire,2020-06-25,Moderate
1799,By State,New Jersey,2020-06-25,High
1800,By State,New Mexico,2020-06-25,High
1801,By State,New York,2020-06-25,High
1802,By State,North Carolina,2020-06-25,High
1803,By State,North Dakota,2020-06-25,Moderate
1804,By State,Ohio,2020-06-25,Moderate
1805,By State,Oklahoma,2020-06-25,Extreme
1806,By State,Oregon,2020-06-25,High
1807,By State,Pennsylvania,2020-06-25,High
1808,By State,Rhode Island,2020-06-25,Moderate
1809,By State,South Carolina,2020-06-25,High
1810,By State,South Dakota,2020-06-25,High
1811,By State,Tennessee,2020-06-25,Extreme
1812,By State,Texas,2020-06-25,Extreme
1813,By State,Utah,2020-06-25,High
1814,By State,Vermont,2020-06-25,Moderate
1815,By State,Virginia,2020-06-25,Moderate
1816,By State,Washington,2020-06-25,Extreme
1817,By State,West Virginia,2020-06-25,Extreme
1818,By State,Wisconsin,2020-06-25,Moderate
1819,By State,Wyoming,2020-06-25,High
1960,National Estimate,United States,2020-07-02,High
1961,By Age,18 - 29 years,2020-07-02,Extreme
1962,By Age,30 - 39 years,2020-07-02,Extreme
1963,By Age,40 - 49 years,2020-07-02,Extreme
1964,By Age,50 - 59 years,2020-07-02,High
1965,By Age,60 - 69 years,2020-07-02,Moderate
1966,By Age,70 - 79 years,2020-07-02,Mild
1967,By Age,80 years and above,2020-07-02,Mild
1968,By Sex,Male,2020-07-02,High
1969,By Sex,Female,2020-07-02,Extreme
1970,By Race/Hispanic ethnicity,Hispanic or Latino,2020-07-02,Extreme
1971,By Race/Hispanic ethnicity,"Non-Hispanic White, single race",2020-07-02,High
1972,By Race/Hispanic ethnicity,"Non-Hispanic Black, single race",2020-07-02,High
1973,By Race/Hispanic ethnicity,"Non-Hispanic Asian, single race",2020-07-02,High
1974,By Race/Hispanic ethnicity,"Non-Hispanic, other races and multiple races",2020-07-02,Extreme
1975,By Education,Less than a high school diploma,2020-07-02,Extreme
1976,By Education,High school diploma or GED,2020-07-02,High
1977,By Education,Some college/Associate's degree,2020-07-02,Extreme
1978,By Education,Bachelor's degree or higher,2020-07-02,Moderate
1979,By State,Alabama,2020-07-02,High
1980,By State,Alaska,2020-07-02,Moderate
1981,By State,Arizona,2020-07-02,Extreme
1982,By State,Arkansas,2020-07-02,High
1983,By State,California,2020-07-02,High
1984,By State,Colorado,2020-07-02,Extreme
1985,By State,Connecticut,2020-07-02,High
1986,By State,Delaware,2020-07-02,Moderate
1987,By State,District of Columbia,2020-07-02,Extreme
1988,By State,Florida,2020-07-02,Extreme
1989,By State,Georgia,2020-07-02,High
1990,By State,Hawaii,2020-07-02,High
1991,By State,Idaho,2020-07-02,High
1992,By State,Illinois,2020-07-02,High
1993,By State,Indiana,2020-07-02,High
1994,By State,Iowa,2020-07-02,Moderate
1995,By State,Kansas,2020-07-02,High
1996,By State,Kentucky,2020-07-02,Extreme
1997,By State,Louisiana,2020-07-02,Extreme
1998,By State,Maine,2020-07-02,High
1999,By State,Maryland,2020-07-02,High
2000,By State,Massachusetts,2020-07-02,High
2001,By State,Michigan,2020-07-02,High
2002,By State,Minnesota,2020-07-02,Moderate
2003,By State,Mississippi,2020-07-02,Extreme
2004,By State,Missouri,2020-07-02,Extreme
2005,By State,Montana,2020-07-02,High
2006,By State,Nebraska,2020-07-02,Moderate
2007,By State,Nevada,2020-07-02,Extreme
2008,By State,New Hampshire,2020-07-02,High
2009,By State,New Jersey,2020-07-02,High
2010,By State,New Mexico,2020-07-02,Extreme
2011,By State,New York,2020-07-02,High
2012,By State,North Carolina,2020-07-02,High
2013,By State,North Dakota,2020-07-02,Moderate
2014,By State,Ohio,2020-07-02,High
2015,By State,Oklahoma,2020-07-02,Extreme
2016,By State,Oregon,2020-07-02,Extreme
2017,By State,Pennsylvania,2020-07-02,High
2018,By State,Rhode Island,2020-07-02,High
2019,By State,South Carolina,2020-07-02,High
2020,By State,South Dakota,2020-07-02,High
2021,By State,Tennessee,2020-07-02,High
2022,By State,Texas,2020-07-02,Extreme
2023,By State,Utah,2020-07-02,Moderate
2024,By State,Vermont,2020-07-02,Moderate
2025,By State,Virginia,2020-07-02,Moderate
2026,By State,Washington,2020-07-02,Extreme
2027,By State,West Virginia,2020-07-02,High
2028,By State,Wisconsin,2020-07-02,High
2029,By State,Wyoming,2020-07-02,High
2170,National Estimate,United States,2020-07-09,Extreme
2171,By Age,18 - 29 years,2020-07-09,Extreme
2172,By Age,30 - 39 years,2020-07-09,Extreme
2173,By Age,40 - 49 years,2020-07-09,Extreme
2174,By Age,50 - 59 years,2020-07-09,High
2175,By Age,60 - 69 years,2020-07-09,Moderate
2176,By Age,70 - 79 years,2020-07-09,Mild
2177,By Age,80 years and above,2020-07-09,Mild
2178,By Sex,Male,2020-07-09,High
2179,By Sex,Female,2020-07-09,Extreme
2180,By Race/Hispanic ethnicity,Hispanic or Latino,2020-07-09,Extreme
2181,By Race/Hispanic ethnicity,"Non-Hispanic White, single race",2020-07-09,High
2182,By Race/Hispanic ethnicity,"Non-Hispanic Black, single race",2020-07-09,Extreme
2183,By Race/Hispanic ethnicity,"Non-Hispanic Asian, single race",2020-07-09,High
2184,By Race/Hispanic ethnicity,"Non-Hispanic, other races and multiple races",2020-07-09,Extreme
2185,By Education,Less than a high school diploma,2020-07-09,Extreme
2186,By Education,High school diploma or GED,2020-07-09,High
2187,By Education,Some college/Associate's degree,2020-07-09,Extreme
2188,By Education,Bachelor's degree or higher,2020-07-09,High
2189,By State,Alabama,2020-07-09,High
2190,By State,Alaska,2020-07-09,High
2191,By State,Arizona,2020-07-09,Extreme
2192,By State,Arkansas,2020-07-09,Extreme
2193,By State,California,2020-07-09,Extreme
2194,By State,Colorado,2020-07-09,Extreme
2195,By State,Connecticut,2020-07-09,High
2196,By State,Delaware,2020-07-09,High
2197,By State,District of Columbia,2020-07-09,Mild
2198,By State,Florida,2020-07-09,Extreme
2199,By State,Georgia,2020-07-09,Extreme
2200,By State,Hawaii,2020-07-09,High
2201,By State,Idaho,2020-07-09,High
2202,By State,Illinois,2020-07-09,Moderate
2203,By State,Indiana,2020-07-09,Extreme
2204,By State,Iowa,2020-07-09,Moderate
2205,By State,Kansas,2020-07-09,Moderate
2206,By State,Kentucky,2020-07-09,Extreme
2207,By State,Louisiana,2020-07-09,Extreme
2208,By State,Maine,2020-07-09,Moderate
2209,By State,Maryland,2020-07-09,High
2210,By State,Massachusetts,2020-07-09,High
2211,By State,Michigan,2020-07-09,High
2212,By State,Minnesota,2020-07-09,Moderate
2213,By State,Mississippi,2020-07-09,Extreme
2214,By State,Missouri,2020-07-09,Extreme
2215,By State,Montana,2020-07-09,Extreme
2216,By State,Nebraska,2020-07-09,High
2217,By State,Nevada,2020-07-09,Extreme
2218,By State,New Hampshire,2020-07-09,Moderate
2219,By State,New Jersey,2020-07-09,Extreme
2220,By State,New Mexico,2020-07-09,Extreme
2221,By State,New York,2020-07-09,High
2222,By State,North Carolina,2020-07-09,High
2223,By State,North Dakota,2020-07-09,High
2224,By State,Ohio,2020-07-09,High
2225,By State,Oklahoma,2020-07-09,Extreme
2226,By State,Oregon,2020-07-09,Extreme
2227,By State,Pennsylvania,2020-07-09,High
2228,By State,Rhode Island,2020-07-09,Extreme
2229,By State,South Carolina,2020-07-09,High
2230,By State,South Dakota,2020-07-09,High
2231,By State,Tennessee,2020-07-09,Extreme
2232,By State,Texas,2020-07-09,Extreme
2233,By State,Utah,2020-07-09,Moderate
2234,By State,Vermont,2020-07-09,High
2235,By State,Virginia,2020-07-09,High
2236,By State,Washington,2020-07-09,Extreme
2237,By State,West Virginia,2020-07-09,Extreme
2238,By State,Wisconsin,2020-07-09,High
2239,By State,Wyoming,2020-07-09,Moderate
2380,National Estimate,United States,2020-07-16,Extreme
2381,By Age,18 - 29 years,2020-07-16,Extreme
2382,By Age,30 - 39 years,2020-07-16,Extreme
2383,By Age,40 - 49 years,2020-07-16,Extreme
2384,By Age,50 - 59 years,2020-07-16,Extreme
2385,By Age,60 - 69 years,2020-07-16,Moderate
2386,By Age,70 - 79 years,2020-07-16,Mild
2387,By Age,80 years and above,2020-07-16,Mild
2388,By Sex,Male,2020-07-16,High
2389,By Sex,Female,2020-07-16,Extreme
2390,By Race/Hispanic ethnicity,Hispanic or Latino,2020-07-16,Extreme
2391,By Race/Hispanic ethnicity,"Non-Hispanic White, single race",2020-07-16,High
2392,By Race/Hispanic ethnicity,"Non-Hispanic Black, single race",2020-07-16,Extreme
2393,By Race/Hispanic ethnicity,"Non-Hispanic Asian, single race",2020-07-16,High
2394,By Race/Hispanic ethnicity,"Non-Hispanic, other races and multiple races",2020-07-16,Extreme
2395,By Education,Less than a high school diploma,2020-07-16,Extreme
2396,By Education,High school diploma or GED,2020-07-16,Extreme
2397,By Education,Some college/Associate's degree,2020-07-16,Extreme
2398,By Education,Bachelor's degree or higher,2020-07-16,High
2399,By State,Alabama,2020-07-16,Extreme
2400,By State,Alaska,2020-07-16,High
2401,By State,Arizona,2020-07-16,Extreme
2402,By State,Arkansas,2020-07-16,Extreme
2403,By State,California,2020-07-16,Extreme
2404,By State,Colorado,2020-07-16,Extreme
2405,By State,Connecticut,2020-07-16,High
2406,By State,Delaware,2020-07-16,Moderate
2407,By State,District of Columbia,2020-07-16,High
2408,By State,Florida,2020-07-16,High
2409,By State,Georgia,2020-07-16,Extreme
2410,By State,Hawaii,2020-07-16,Extreme
2411,By State,Idaho,2020-07-16,Extreme
2412,By State,Illinois,2020-07-16,Extreme
2413,By State,Indiana,2020-07-16,Extreme
2414,By State,Iowa,2020-07-16,High
2415,By State,Kansas,2020-07-16,High
2416,By State,Kentucky,2020-07-16,Extreme
2417,By State,Louisiana,2020-07-16,Extreme
2418,By State,Maine,2020-07-16,Extreme
2419,By State,Maryland,2020-07-16,High
2420,By State,Massachusetts,2020-07-16,High
2421,By State,Michigan,2020-07-16,Extreme
2422,By State,Minnesota,2020-07-16,High
2423,By State,Mississippi,2020-07-16,Extreme
2424,By State,Missouri,2020-07-16,High
2425,By State,Montana,2020-07-16,Moderate
2426,By State,Nebraska,2020-07-16,High
2427,By State,Nevada,2020-07-16,Extreme
2428,By State,New Hampshire,2020-07-16,High
2429,By State,New Jersey,2020-07-16,High
2430,By State,New Mexico,2020-07-16,Extreme
2431,By State,New York,2020-07-16,Extreme
2432,By State,North Carolina,2020-07-16,High
2433,By State,North Dakota,2020-07-16,High
2434,By State,Ohio,2020-07-16,High
2435,By State,Oklahoma,2020-07-16,Extreme
2436,By State,Oregon,2020-07-16,Extreme
2437,By State,Pennsylvania,2020-07-16,Moderate
2438,By State,Rhode Island,2020-07-16,Extreme
2439,By State,South Carolina,2020-07-16,Extreme
2440,By State,South Dakota,2020-07-16,Moderate
2441,By State,Tennessee,2020-07-16,Extreme
2442,By State,Texas,2020-07-16,Extreme
2443,By State,Utah,2020-07-16,High
2444,By State,Vermont,2020-07-16,Moderate
2445,By State,Virginia,2020-07-16,High
2446,By State,Washington,2020-07-16,Extreme
2447,By State,West Virginia,2020-07-16,High
2448,By State,Wisconsin,2020-07-16,High
2449,By State,Wyoming,2020-07-16,Extreme
2628,National Estimate,United States,2020-08-19,High
2629,By Age,18 - 29 years,2020-08-19,Extreme
2630,By Age,30 - 39 years,2020-08-19,Extreme
2631,By Age,40 - 49 years,2020-08-19,High
2632,By Age,50 - 59 years,2020-08-19,High
2633,By Age,60 - 69 years,2020-08-19,Moderate
2634,By Age,70 - 79 years,2020-08-19,Mild
2635,By Age,80 years and above,2020-08-19,Mild
2636,By Sex,Male,2020-08-19,Moderate
2637,By Sex,Female,2020-08-19,Extreme
2638,By Race/Hispanic ethnicity,Hispanic or Latino,2020-08-19,High
2639,By Race/Hispanic ethnicity,"Non-Hispanic White, single race",2020-08-19,High
2640,By Race/Hispanic ethnicity,"Non-Hispanic Black, single race",2020-08-19,High
2641,By Race/Hispanic ethnicity,"Non-Hispanic Asian, single race",2020-08-19,Moderate
2642,By Race/Hispanic ethnicity,"Non-Hispanic, other races and multiple races",2020-08-19,Extreme
2643,By Education,Less than a high school diploma,2020-08-19,Extreme
2644,By Education,High school diploma or GED,2020-08-19,High
2645,By Education,Some college/Associate's degree,2020-08-19,High
2646,By Education,Bachelor's degree or higher,2020-08-19,Moderate
2647,By State,Alabama,2020-08-19,High
2648,By State,Alaska,2020-08-19,High
2649,By State,Arizona,2020-08-19,High
2650,By State,Arkansas,2020-08-19,High
2651,By State,California,2020-08-19,High
2652,By State,Colorado,2020-08-19,High
2653,By State,Connecticut,2020-08-19,High
2654,By State,Delaware,2020-08-19,Mild
2655,By State,District of Columbia,2020-08-19,High
2656,By State,Florida,2020-08-19,High
2657,By State,Georgia,2020-08-19,High
2658,By State,Hawaii,2020-08-19,Extreme
2659,By State,Idaho,2020-08-19,Moderate
2660,By State,Illinois,2020-08-19,High
2661,By State,Indiana,2020-08-19,High
2662,By State,Iowa,2020-08-19,Moderate
2663,By State,Kansas,2020-08-19,High
2664,By State,Kentucky,2020-08-19,High
2665,By State,Louisiana,2020-08-19,Extreme
2666,By State,Maine,2020-08-19,High
2667,By State,Maryland,2020-08-19,High
2668,By State,Massachusetts,2020-08-19,High
2669,By State,Michigan,2020-08-19,High
2670,By State,Minnesota,2020-08-19,Moderate
2671,By State,Mississippi,2020-08-19,Moderate
2672,By State,Missouri,2020-08-19,Moderate
2673,By State,Montana,2020-08-19,Moderate
2674,By State,Nebraska,2020-08-19,Moderate
2675,By State,Nevada,2020-08-19,Extreme
2676,By State,New Hampshire,2020-08-19,Moderate
2677,By State,New Jersey,2020-08-19,High
2678,By State,New Mexico,2020-08-19,Extreme
2679,By State,New York,2020-08-19,High
2680,By State,North Carolina,2020-08-19,Moderate
2681,By State,North Dakota,2020-08-19,Moderate
2682,By State,Ohio,2020-08-19,High
2683,By State,Oklahoma,2020-08-19,High
2684,By State,Oregon,2020-08-19,High
2685,By State,Pennsylvania,2020-08-19,High
2686,By State,Rhode Island,2020-08-19,High
2687,By State,South Carolina,2020-08-19,Mild
2688,By State,South Dakota,2020-08-19,Mild
2689,By State,Tennessee,2020-08-19,High
2690,By State,Texas,2020-08-19,High
2691,By State,Utah,2020-08-19,High
2692,By State,Vermont,2020-08-19,Moderate
2693,By State,Virginia,2020-08-19,High
2694,By State,Washington,2020-08-19,High
2695,By State,West Virginia,2020-08-19,Moderate
2696,By State,Wisconsin,2020-08-19,Moderate
2697,By State,Wyoming,2020-08-19,High
2857,National Estimate,United States,2020-09-02,High
2858,By Age,18 - 29 years,2020-09-02,Extreme
2859,By Age,30 - 39 years,2020-09-02,Extreme
2860,By Age,40 - 49 years,2020-09-02,High
2861,By Age,50 - 59 years,2020-09-02,High
2862,By Age,60 - 69 years,2020-09-02,Moderate
2863,By Age,70 - 79 years,2020-09-02,Mild
2864,By Age,80 years and above,2020-09-02,Mild
2865,By Sex,Male,2020-09-02,Moderate
2866,By Sex,Female,2020-09-02,Extreme
2867,By Race/Hispanic ethnicity,Hispanic or Latino,2020-09-02,Extreme
2868,By Race/Hispanic ethnicity,"Non-Hispanic White, single race",2020-09-02,High
2869,By Race/Hispanic ethnicity,"Non-Hispanic Black, single race",2020-09-02,High
2870,By Race/Hispanic ethnicity,"Non-Hispanic Asian, single race",2020-09-02,Mild
2871,By Race/Hispanic ethnicity,"Non-Hispanic, other races and multiple races",2020-09-02,Extreme
2872,By Education,Less than a high school diploma,2020-09-02,Extreme
2873,By Education,High school diploma or GED,2020-09-02,High
2874,By Education,Some college/Associate's degree,2020-09-02,High
2875,By Education,Bachelor's degree or higher,2020-09-02,Moderate
2876,By State,Alabama,2020-09-02,High
2877,By State,Alaska,2020-09-02,Moderate
2878,By State,Arizona,2020-09-02,High
2879,By State,Arkansas,2020-09-02,Extreme
2880,By State,California,2020-09-02,High
2881,By State,Colorado,2020-09-02,High
2882,By State,Connecticut,2020-09-02,High
2883,By State,Delaware,2020-09-02,High
2884,By State,District of Columbia,2020-09-02,High
2885,By State,Florida,2020-09-02,High
2886,By State,Georgia,2020-09-02,High
2887,By State,Hawaii,2020-09-02,High
2888,By State,Idaho,2020-09-02,High
2889,By State,Illinois,2020-09-02,High
2890,By State,Indiana,2020-09-02,High
2891,By State,Iowa,2020-09-02,Moderate
2892,By State,Kansas,2020-09-02,Moderate
2893,By State,Kentucky,2020-09-02,High
2894,By State,Louisiana,2020-09-02,Extreme
2895,By State,Maine,2020-09-02,High
2896,By State,Maryland,2020-09-02,High
2897,By State,Massachusetts,2020-09-02,Moderate
2898,By State,Michigan,2020-09-02,High
2899,By State,Minnesota,2020-09-02,Moderate
2900,By State,Mississippi,2020-09-02,High
2901,By State,Missouri,2020-09-02,Moderate
2902,By State,Montana,2020-09-02,Moderate
2903,By State,Nebraska,2020-09-02,Moderate
2904,By State,Nevada,2020-09-02,High
2905,By State,New Hampshire,2020-09-02,High
2906,By State,New Jersey,2020-09-02,High
2907,By State,New Mexico,2020-09-02,High
2908,By State,New York,2020-09-02,High
2909,By State,North Carolina,2020-09-02,Moderate
2910,By State,North Dakota,2020-09-02,Mild
2911,By State,Ohio,2020-09-02,High
2912,By State,Oklahoma,2020-09-02,High
2913,By State,Oregon,2020-09-02,Extreme
2914,By State,Pennsylvania,2020-09-02,High
2915,By State,Rhode Island,2020-09-02,High
2916,By State,South Carolina,2020-09-02,Moderate
2917,By State,South Dakota,2020-09-02,Mild
2918,By State,Tennessee,2020-09-02,Moderate
2919,By State,Texas,2020-09-02,High
2920,By State,Utah,2020-09-02,Moderate
2921,By State,Vermont,2020-09-02,High
2922,By State,Virginia,2020-09-02,Moderate
2923,By State,Washington,2020-09-02,High
2924,By State,West Virginia,2020-09-02,High
2925,By State,Wisconsin,2020-09-02,Moderate
2926,By State,Wyoming,2020-09-02,Moderate
3067,National Estimate,United States,2020-09-16,High
3068,By Age,18 - 29 years,2020-09-16,Extreme
3069,By Age,30 - 39 years,2020-09-16,Extreme
3070,By Age,40 - 49 years,2020-09-16,High
3071,By Age,50 - 59 years,2020-09-16,High
3072,By Age,60 - 69 years,2020-09-16,Moderate
3073,By Age,70 - 79 years,2020-09-16,Mild
3074,By Age,80 years and above,2020-09-16,Mild
3075,By Sex,Male,2020-09-16,Moderate
3076,By Sex,Female,2020-09-16,Extreme
3077,By Race/Hispanic ethnicity,Hispanic or Latino,2020-09-16,Extreme
3078,By Race/Hispanic ethnicity,"Non-Hispanic White, single race",2020-09-16,High
3079,By Race/Hispanic ethnicity,"Non-Hispanic Black, single race",2020-09-16,High
3080,By Race/Hispanic ethnicity,"Non-Hispanic Asian, single race",2020-09-16,Moderate
3081,By Race/Hispanic ethnicity,"Non-Hispanic, other races and multiple races",2020-09-16,Extreme
3082,By Education,Less than a high school diploma,2020-09-16,Extreme
3083,By Education,High school diploma or GED,2020-09-16,High
3084,By Education,Some college/Associate's degree,2020-09-16,High
3085,By Education,Bachelor's degree or higher,2020-09-16,High
3086,By State,Alabama,2020-09-16,High
3087,By State,Alaska,2020-09-16,High
3088,By State,Arizona,2020-09-16,High
3089,By State,Arkansas,2020-09-16,Moderate
3090,By State,California,2020-09-16,Extreme
3091,By State,Colorado,2020-09-16,High
3092,By State,Connecticut,2020-09-16,High
3093,By State,Delaware,2020-09-16,Moderate
3094,By State,District of Columbia,2020-09-16,Extreme
3095,By State,Florida,2020-09-16,High
3096,By State,Georgia,2020-09-16,High
3097,By State,Hawaii,2020-09-16,Moderate
3098,By State,Idaho,2020-09-16,Moderate
3099,By State,Illinois,2020-09-16,High
3100,By State,Indiana,2020-09-16,High
3101,By State,Iowa,2020-09-16,Moderate
3102,By State,Kansas,2020-09-16,High
3103,By State,Kentucky,2020-09-16,High
3104,By State,Louisiana,2020-09-16,Extreme
3105,By State,Maine,2020-09-16,High
3106,By State,Maryland,2020-09-16,High
3107,By State,Massachusetts,2020-09-16,High
3108,By State,Michigan,2020-09-16,Moderate
3109,By State,Minnesota,2020-09-16,Moderate
3110,By State,Mississippi,2020-09-16,High
3111,By State,Missouri,2020-09-16,High
3112,By State,Montana,2020-09-16,High
3113,By State,Nebraska,2020-09-16,Moderate
3114,By State,Nevada,2020-09-16,Extreme
3115,By State,New Hampshire,2020-09-16,Moderate
3116,By State,New Jersey,2020-09-16,High
3117,By State,New Mexico,2020-09-16,Extreme
3118,By State,New York,2020-09-16,High
3119,By State,North Carolina,2020-09-16,Moderate
3120,By State,North Dakota,2020-09-16,Mild
3121,By State,Ohio,2020-09-16,High
3122,By State,Oklahoma,2020-09-16,Moderate
3123,By State,Oregon,2020-09-16,Extreme
3124,By State,Pennsylvania,2020-09-16,High
3125,By State,Rhode Island,2020-09-16,High
3126,By State,South Carolina,2020-09-16,High
3127,By State,South Dakota,2020-09-16,Mild
3128,By State,Tennessee,2020-09-16,High
3129,By State,Texas,2020-09-16,High
3130,By State,Utah,2020-09-16,High
3131,By State,Vermont,2020-09-16,High
3132,By State,Virginia,2020-09-16,High
3133,By State,Washington,2020-09-16,High
3134,By State,West Virginia,2020-09-16,Extreme
3135,By State,Wisconsin,2020-09-16,Moderate
3136,By State,Wyoming,2020-09-16,Moderate
3277,National Estimate,United States,2020-09-30,High
3278,By Age,18 - 29 years,2020-09-30,Extreme
3279,By Age,30 - 39 years,2020-09-30,Extreme
3280,By Age,40 - 49 years,2020-09-30,Extreme
3281,By Age,50 - 59 years,2020-09-30,High
3282,By Age,60 - 69 years,2020-09-30,Moderate
3283,By Age,70 - 79 years,2020-09-30,Mild
3284,By Age,80 years and above,2020-09-30,Mild
3285,By Sex,Male,2020-09-30,Moderate
3286,By Sex,Female,2020-09-30,Extreme
3287,By Race/Hispanic ethnicity,Hispanic or Latino,2020-09-30,Extreme
3288,By Race/Hispanic ethnicity,"Non-Hispanic White, single race",2020-09-30,High
3289,By Race/Hispanic ethnicity,"Non-Hispanic Black, single race",2020-09-30,High
3290,By Race/Hispanic ethnicity,"Non-Hispanic Asian, single race",2020-09-30,Moderate
3291,By Race/Hispanic ethnicity,"Non-Hispanic, other races and multiple races",2020-09-30,Extreme
3292,By Education,Less than a high school diploma,2020-09-30,Extreme
3293,By Education,High school diploma or GED,2020-09-30,High
3294,By Education,Some college/Associate's degree,2020-09-30,Extreme
3295,By Education,Bachelor's degree or higher,2020-09-30,High
3296,By State,Alabama,2020-09-30,Moderate
3297,By State,Alaska,2020-09-30,High
3298,By State,Arizona,2020-09-30,High
3299,By State,Arkansas,2020-09-30,Extreme
3300,By State,California,2020-09-30,Extreme
3301,By State,Colorado,2020-09-30,High
3302,By State,Connecticut,2020-09-30,Moderate
3303,By State,Delaware,2020-09-30,High
3304,By State,District of Columbia,2020-09-30,High
3305,By State,Florida,2020-09-30,High
3306,By State,Georgia,2020-09-30,Moderate
3307,By State,Hawaii,2020-09-30,High
3308,By State,Idaho,2020-09-30,Moderate
3309,By State,Illinois,2020-09-30,High
3310,By State,Indiana,2020-09-30,High
3311,By State,Iowa,2020-09-30,Moderate
3312,By State,Kansas,2020-09-30,High
3313,By State,Kentucky,2020-09-30,Extreme
3314,By State,Louisiana,2020-09-30,Extreme
3315,By State,Maine,2020-09-30,High
3316,By State,Maryland,2020-09-30,High
3317,By State,Massachusetts,2020-09-30,High
3318,By State,Michigan,2020-09-30,High
3319,By State,Minnesota,2020-09-30,Moderate
3320,By State,Mississippi,2020-09-30,High
3321,By State,Missouri,2020-09-30,High
3322,By State,Montana,2020-09-30,Moderate
3323,By State,Nebraska,2020-09-30,Moderate
3324,By State,Nevada,2020-09-30,Extreme
3325,By State,New Hampshire,2020-09-30,Moderate
3326,By State,New Jersey,2020-09-30,High
3327,By State,New Mexico,2020-09-30,High
3328,By State,New York,2020-09-30,High
3329,By State,North Carolina,2020-09-30,Moderate
3330,By State,North Dakota,2020-09-30,Mild
3331,By State,Ohio,2020-09-30,High
3332,By State,Oklahoma,2020-09-30,High
3333,By State,Oregon,2020-09-30,High
3334,By State,Pennsylvania,2020-09-30,High
3335,By State,Rhode Island,2020-09-30,Moderate
3336,By State,South Carolina,2020-09-30,Moderate
3337,By State,South Dakota,2020-09-30,Moderate
3338,By State,Tennessee,2020-09-30,High
3339,By State,Texas,2020-09-30,High
3340,By State,Utah,2020-09-30,High
3341,By State,Vermont,2020-09-30,Extreme
3342,By State,Virginia,2020-09-30,Moderate
3343,By State,Washington,2020-09-30,High
3344,By State,West Virginia,2020-09-30,Extreme
3345,By State,Wisconsin,2020-09-30,High
3346,By State,Wyoming,2020-09-30,Moderate
3487,National Estimate,United States,2020-10-14,High
3488,By Age,18 - 29 years,2020-10-14,Extreme
3489,By Age,30 - 39 years,2020-10-14,Extreme
3490,By Age,40 - 49 years,2020-10-14,High
3491,By Age,50 - 59 years,2020-10-14,High
3492,By Age,60 - 69 years,2020-10-14,Moderate
3493,By Age,70 - 79 years,2020-10-14,Mild
3494,By Age,80 years and above,2020-10-14,Mild
3495,By Sex,Male,2020-10-14,Moderate
3496,By Sex,Female,2020-10-14,Extreme
3497,By Race/Hispanic ethnicity,Hispanic or Latino,2020-10-14,Extreme
3498,By Race/Hispanic ethnicity,"Non-Hispanic White, single race",2020-10-14,High
3499,By Race/Hispanic ethnicity,"Non-Hispanic Black, single race",2020-10-14,High
3500,By Race/Hispanic ethnicity,"Non-Hispanic Asian, single race",2020-10-14,Moderate
3501,By Race/Hispanic ethnicity,"Non-Hispanic, other races and multiple races",2020-10-14,Extreme
3502,By Education,Less than a high school diploma,2020-10-14,Extreme
3503,By Education,High school diploma or GED,2020-10-14,High
3504,By Education,Some college/Associate's degree,2020-10-14,Extreme
3505,By Education,Bachelor's degree or higher,2020-10-14,High
3506,By State,Alabama,2020-10-14,High
3507,By State,Alaska,2020-10-14,High
3508,By State,Arizona,2020-10-14,High
3509,By State,Arkansas,2020-10-14,High
3510,By State,California,2020-10-14,Extreme
3511,By State,Colorado,2020-10-14,High
3512,By State,Connecticut,2020-10-14,High
3513,By State,Delaware,2020-10-14,High
3514,By State,District of Columbia,2020-10-14,High
3515,By State,Florida,2020-10-14,High
3516,By State,Georgia,2020-10-14,High
3517,By State,Hawaii,2020-10-14,High
3518,By State,Idaho,2020-10-14,High
3519,By State,Illinois,2020-10-14,High
3520,By State,Indiana,2020-10-14,Extreme
3521,By State,Iowa,2020-10-14,High
3522,By State,Kansas,2020-10-14,High
3523,By State,Kentucky,2020-10-14,Extreme
3524,By State,Louisiana,2020-10-14,High
3525,By State,Maine,2020-10-14,High
3526,By State,Maryland,2020-10-14,High
3527,By State,Massachusetts,2020-10-14,High
3528,By State,Michigan,2020-10-14,High
3529,By State,Minnesota,2020-10-14,Moderate
3530,By State,Mississippi,2020-10-14,Extreme
3531,By State,Missouri,2020-10-14,Extreme
3532,By State,Montana,2020-10-14,Moderate
